CaseID,Phase,SourceRegime,SourceTraceIndex
0,1,base,2321
1,1,base,335
2,1,base,584
3,1,base,1943
4,1,base,953
5,1,base,1742
6,1,base,1446
7,1,base,1126
8,1,base,845
9,1,base,72
10,1,base,11
11,1,base,625
12,1,base,134
13,1,base,1504
14,1,base,249
15,1,base,1486
16,1,base,1003
17,1,base,2233
18,1,base,39
19,1,base,657
20,1,base,1586
21,1,base,2068
22,1,base,335
23,1,base,563
24,1,base,2488
25,1,base,1163
26,1,base,52
27,1,base,1762
28,1,base,1246
29,1,base,1789
30,1,base,1881
31,1,base,2292
32,1,base,427
33,1,base,361
34,1,base,2277
35,1,base,1165
36,1,base,1632
37,1,base,254
38,1,base,739
39,1,base,1623
40,1,base,1319
41,1,base,1270
42,1,base,763
43,1,base,502
44,1,base,2155
45,1,base,2251
46,1,base,2002
47,1,base,860
48,1,base,1893
49,1,base,112
50,1,base,2115
51,1,base,1761
52,1,base,2123
53,1,base,1566
54,1,base,2007
55,1,base,2284
56,1,base,293
57,1,base,488
58,1,base,978
59,1,base,1033
60,1,base,1570
61,1,base,2377
62,1,base,228
63,1,base,1978
64,1,base,1061
65,1,base,524
66,1,base,248
67,1,base,1832
68,1,base,23
69,1,base,1418
70,1,base,1185
71,1,base,2315
72,1,base,1426
73,1,base,693
74,1,base,2103
75,1,base,2186
76,1,base,373
77,1,base,1373
78,1,base,826
79,1,base,628
80,1,base,517
81,1,base,717
82,1,base,1341
83,1,base,1273
84,1,base,925
85,1,base,1744
86,1,base,2267
87,1,base,1624
88,1,base,1358
89,1,base,640
90,1,base,331
91,1,base,1291
92,1,base,1538
93,1,base,2374
94,1,base,1890
95,1,base,769
96,1,base,833
97,1,base,163
98,1,base,1810
99,1,base,1074
100,1,base,1521
101,1,base,2455
102,1,base,701
103,1,base,1196
104,1,base,943
105,1,base,1781
106,1,base,373
107,1,base,107
108,1,base,1421
109,1,base,1484
110,1,base,1368
111,1,base,967
112,1,base,1233
113,1,base,1157
114,1,base,925
115,1,base,1123
116,1,base,184
117,1,base,1929
118,1,base,269
119,1,base,1318
120,1,base,1230
121,1,base,2291
122,1,base,128
123,1,base,914
124,1,base,2024
125,1,base,517
126,1,base,1706
127,1,base,2044
128,1,base,1775
129,1,base,853
130,1,base,1939
131,1,base,1077
132,1,base,231
133,1,base,414
134,1,base,1637
135,1,base,893
136,1,base,820
137,1,base,193
138,1,base,1977
139,1,base,967
140,1,base,2370
141,1,base,1115
142,1,base,2136
143,1,base,2331
144,1,base,1799
145,1,base,236
146,1,base,32
147,1,base,420
148,1,base,2319
149,1,base,789
150,1,base,1140
151,1,base,2200
152,1,base,703
153,1,base,343
154,1,base,686
155,1,base,705
156,1,base,2081
157,1,base,1908
158,1,base,1524
159,1,base,244
160,1,base,1880
161,1,base,871
162,1,base,2021
163,1,base,1133
164,1,base,1872
165,1,base,1280
166,1,base,2413
167,1,base,1887
168,1,base,479
169,1,base,1853
170,1,base,1183
171,1,base,2017
172,1,base,248
173,1,base,382
174,1,base,1486
175,1,base,1064
176,1,base,2185
177,1,base,65
178,1,base,778
179,1,base,760
180,1,base,732
181,1,base,2488
182,1,base,2347
183,1,base,450
184,1,base,2475
185,1,base,1769
186,1,base,183
187,1,base,1725
188,1,base,353
189,1,base,28
190,1,base,1316
191,1,base,572
192,1,base,414
193,1,base,313
194,1,base,1498
195,1,base,1110
196,1,base,2056
197,1,base,21
198,1,base,1554
199,1,base,596
200,1,base,1261
201,1,base,500
202,1,base,240
203,1,base,625
204,1,base,2399
205,1,base,1184
206,1,base,1208
207,1,base,1226
208,1,base,719
209,1,base,2305
210,1,base,2182
211,1,base,1557
212,1,base,101
213,1,base,2219
214,1,base,1453
215,1,base,1477
216,1,base,2011
217,1,base,1140
218,1,base,261
219,1,base,2458
220,1,base,1828
221,1,base,2
222,1,base,2455
223,1,base,1129
224,1,base,843
225,1,base,1249
226,1,base,1896
227,1,base,2380
228,1,base,1711
229,1,base,231
230,1,base,632
231,1,base,116
232,1,base,880
233,1,base,2245
234,1,base,2458
235,1,base,1044
236,1,base,1961
237,1,base,29
238,1,base,1382
239,1,base,2302
240,1,base,1964
241,1,base,706
242,1,base,59
243,1,base,1804
244,1,base,449
245,1,base,1204
246,1,base,1662
247,1,base,387
248,1,base,1662
249,1,base,676
250,1,base,1056
251,1,base,1635
252,1,base,177
253,1,base,1123
254,1,base,1806
255,1,base,1931
256,1,base,222
257,1,base,223
258,1,base,2233
259,1,base,1649
260,1,base,624
261,1,base,1814
262,1,base,275
263,1,base,725
264,1,base,1410
265,1,base,2342
266,1,base,711
267,1,base,469
268,1,base,2497
269,1,base,2052
270,1,base,396
271,1,base,1805
272,1,base,963
273,1,base,141
274,1,base,2408
275,1,base,1856
276,1,base,1750
277,1,base,2428
278,1,base,330
279,1,base,1115
280,1,base,1511
281,1,base,1194
282,1,base,73
283,1,base,541
284,1,base,691
285,1,base,1770
286,1,base,2329
287,1,base,2114
288,1,base,915
289,1,base,1005
290,1,base,366
291,1,base,75
292,1,base,2495
293,1,base,1679
294,1,base,68
295,1,base,1745
296,1,base,945
297,1,base,907
298,1,base,2199
299,1,base,1872
300,1,base,1382
301,1,base,1454
302,1,base,995
303,1,base,758
304,1,base,1922
305,1,base,2353
306,1,base,1057
307,1,base,2090
308,1,base,260
309,1,base,2193
310,1,base,1523
311,1,base,1196
312,1,base,2273
313,1,base,1971
314,1,base,1921
315,1,base,285
316,1,base,1691
317,1,base,398
318,1,base,2143
319,1,base,1623
320,1,base,466
321,1,base,1645
322,1,base,425
323,1,base,905
324,1,base,1516
325,1,base,1197
326,1,base,1746
327,1,base,1738
328,1,base,1640
329,1,base,1777
330,1,base,1983
331,1,base,683
332,1,base,1741
333,1,base,676
334,1,base,660
335,1,base,1856
336,1,base,29
337,1,base,1888
338,1,base,2343
339,1,base,799
340,1,base,2470
341,1,base,2305
342,1,base,1055
343,1,base,1686
344,1,base,544
345,1,base,658
346,1,base,645
347,1,base,548
348,1,base,283
349,1,base,2326
350,1,base,196
351,1,base,2104
352,1,base,256
353,1,base,1636
354,1,base,1534
355,1,base,1748
356,1,base,24
357,1,base,1506
358,1,base,2039
359,1,base,858
360,1,base,2189
361,1,base,280
362,1,base,1603
363,1,base,1577
364,1,base,248
365,1,base,27
366,1,base,1221
367,1,base,362
368,1,base,845
369,1,base,1643
370,1,base,1958
371,1,base,810
372,1,base,312
373,1,base,2092
374,1,base,1964
375,1,base,1139
376,1,base,786
377,1,base,1543
378,1,base,2216
379,1,base,301
380,1,base,663
381,1,base,1777
382,1,base,1240
383,1,base,1091
384,1,base,2316
385,1,base,1217
386,1,base,1418
387,1,base,1431
388,1,base,1892
389,1,base,2441
390,1,base,1177
391,1,base,443
392,1,base,1115
393,1,base,2288
394,1,base,503
395,1,base,393
396,1,base,1836
397,1,base,2223
398,1,base,456
399,1,base,2352
400,1,base,1908
401,1,base,1869
402,1,base,2062
403,1,base,38
404,1,base,454
405,1,base,1241
406,1,base,1337
407,1,base,50
408,1,base,1298
409,1,base,1388
410,1,base,423
411,1,base,953
412,1,base,2380
413,1,base,1119
414,1,base,2296
415,1,base,2220
416,1,base,2488
417,1,base,97
418,1,base,1293
419,1,base,1680
420,1,base,2315
421,1,base,1264
422,1,base,1492
423,1,base,1359
424,1,base,2197
425,1,base,300
426,1,base,1898
427,1,base,703
428,1,base,1608
429,1,base,2391
430,1,base,332
431,1,base,962
432,1,base,580
433,1,base,633
434,1,base,2127
435,1,base,1543
436,1,base,1378
437,1,base,1369
438,1,base,1070
439,1,base,2124
440,1,base,887
