CaseID,Activity,Type,Timestamp
0,10,complete,2004-01-01T00:00:00.000+00:00
0,5,complete,2004-01-01T00:11:05.083+00:00
0,6,complete,2004-01-01T00:29:42.761+00:00
0,0,complete,2004-01-01T01:08:16.753+00:00
0,3,complete,2004-01-01T02:10:18.490+00:00
0,2,complete,2004-01-01T02:31:56.423+00:00
0,14,complete,2004-01-01T03:11:15.609+00:00
0,11,complete,2004-01-01T03:11:15.609+00:00
1,10,complete,2004-01-01T01:00:00.000+00:00
1,5,complete,2004-01-01T01:07:00.534+00:00
1,6,complete,2004-01-01T18:57:59.126+00:00
1,3,complete,2004-01-01T19:18:21.351+00:00
1,0,complete,2004-01-01T19:30:05.948+00:00
1,2,complete,2004-01-01T20:12:26.016+00:00
1,14,complete,2004-01-01T20:46:36.682+00:00
1,11,complete,2004-01-01T20:46:36.682+00:00
2,10,complete,2004-01-01T02:00:00.000+00:00
2,5,complete,2004-01-01T02:57:42.701+00:00
2,0,complete,2004-01-01T03:06:54.450+00:00
2,6,complete,2004-01-01T03:23:56.893+00:00
2,3,complete,2004-01-01T03:53:28.461+00:00
2,2,complete,2004-01-01T04:01:28.474+00:00
2,14,complete,2004-01-01T04:05:58.519+00:00
2,11,complete,2004-01-01T04:05:58.519+00:00
3,10,complete,2004-01-01T03:00:00.000+00:00
3,5,complete,2004-01-01T03:04:17.784+00:00
3,15,complete,2004-01-01T03:07:03.905+00:00
3,13,complete,2004-01-01T03:20:42.001+00:00
3,5,complete,2004-01-01T03:23:32.338+00:00
3,15,complete,2004-01-01T03:51:59.094+00:00
3,13,complete,2004-01-01T04:07:09.388+00:00
3,5,complete,2004-01-01T04:38:12.063+00:00
3,6,complete,2004-01-01T04:48:34.840+00:00
3,0,complete,2004-01-01T04:51:42.643+00:00
3,3,complete,2004-01-01T04:53:33.112+00:00
3,2,complete,2004-01-01T21:38:42.267+00:00
3,14,complete,2004-01-01T23:39:12.860+00:00
3,11,complete,2004-01-01T23:39:12.860+00:00
4,10,complete,2004-01-01T04:00:00.000+00:00
4,5,complete,2004-01-01T04:18:33.751+00:00
4,0,complete,2004-01-01T04:57:41.396+00:00
4,6,complete,2004-01-01T05:51:38.555+00:00
4,3,complete,2004-01-01T06:01:02.551+00:00
4,2,complete,2004-01-01T06:16:47.400+00:00
4,14,complete,2004-01-01T07:07:02.723+00:00
4,11,complete,2004-01-01T07:07:02.723+00:00
5,10,complete,2004-01-01T05:00:00.000+00:00
5,5,complete,2004-01-01T05:08:23.955+00:00
5,0,complete,2004-01-01T05:14:56.570+00:00
5,6,complete,2004-01-01T05:24:23.552+00:00
5,3,complete,2004-01-01T06:36:05.182+00:00
5,2,complete,2004-01-01T06:38:27.572+00:00
5,14,complete,2004-01-01T06:55:28.666+00:00
5,11,complete,2004-01-01T06:55:28.666+00:00
6,10,complete,2004-01-01T06:00:00.000+00:00
6,5,complete,2004-01-01T06:06:50.071+00:00
6,6,complete,2004-01-01T06:13:44.608+00:00
6,0,complete,2004-01-01T06:44:37.210+00:00
6,3,complete,2004-01-01T06:54:55.829+00:00
6,2,complete,2004-01-01T06:56:44.967+00:00
6,12,complete,2004-01-01T23:22:42.510+00:00
6,7,complete,2004-01-02T01:27:41.082+00:00
6,17,complete,2004-01-02T01:54:50.981+00:00
6,18,complete,2004-01-02T02:04:57.587+00:00
6,1,complete,2004-01-02T02:16:04.522+00:00
6,8,complete,2004-01-02T02:16:04.522+00:00
7,10,complete,2004-01-01T07:00:00.000+00:00
