CaseID,Phase,SourceRegime,SourceTraceIndex
0,1,base,1174
1,1,base,1157
2,1,base,1215
3,1,base,2464
4,1,base,113
5,1,base,1621
6,1,base,927
7,1,base,866
8,1,base,982
9,1,base,866
10,1,base,1870
11,1,base,2497
12,1,base,657
13,1,base,2268
14,1,base,546
15,1,base,2203
16,1,base,390
17,1,base,575
18,1,base,1036
19,1,base,1597
20,1,base,1154
21,1,base,1516
22,1,base,1859
23,1,base,1397
24,1,base,1409
25,1,base,226
26,1,base,428
27,1,base,1916
28,1,base,1845
29,1,base,2143
30,1,base,2068
31,1,base,2232
32,1,base,197
33,1,base,1641
34,1,base,1890
35,1,base,893
36,1,base,2394
37,1,base,2388
38,1,base,1292
39,1,base,1044
40,1,base,947
41,1,base,2119
42,1,base,1684
43,1,base,1498
44,1,base,614
45,1,base,679
46,1,base,19
47,1,base,1444
48,1,base,191
49,1,base,208
50,1,base,59
51,1,base,1943
52,1,base,674
53,1,base,167
54,1,base,766
55,1,base,62
56,1,base,234
57,1,base,508
58,1,base,1235
59,1,base,2249
60,1,base,1936
61,1,base,284
62,1,base,1974
63,1,base,836
64,1,base,1006
65,1,base,2491
66,1,base,2229
67,1,base,349
68,1,base,422
69,1,base,263
70,1,base,2022
71,1,base,226
72,1,base,1398
73,1,base,296
74,1,base,1070
75,1,base,2379
76,1,base,1441
77,1,base,136
78,1,base,1423
79,1,base,1322
80,1,base,101
81,1,base,2313
82,1,base,1778
83,1,base,1325
84,1,base,1161
85,1,base,2141
86,1,base,31
87,1,base,1323
88,1,base,1904
89,1,base,1875
90,1,base,2353
91,1,base,373
92,1,base,84
93,1,base,1949
94,1,base,1637
95,1,base,815
96,1,base,1163
97,1,base,949
98,1,base,1683
99,1,base,61
100,1,base,1302
101,1,base,1122
102,1,base,2259
103,1,base,865
104,1,base,2188
105,1,base,1232
106,1,base,860
107,1,base,140
108,1,base,702
109,1,base,2130
110,1,base,2051
111,1,base,1543
112,1,base,533
113,1,base,279
114,1,base,1773
115,1,base,2453
116,1,base,317
117,1,base,1378
118,1,base,1774
119,1,base,1578
120,1,base,153
121,1,base,1473
122,1,base,1598
123,1,base,362
124,1,base,1555
125,1,base,2352
126,1,base,504
127,1,base,1693
128,1,base,1979
129,1,base,605
130,1,base,2437
131,1,base,1694
132,1,base,2133
133,1,base,291
134,1,base,1363
135,1,base,2066
136,1,base,1272
137,1,base,1580
138,1,base,2391
139,1,base,1586
140,1,base,1008
141,1,base,2075
142,1,base,1117
143,1,base,260
144,1,base,351
145,1,base,1082
146,1,base,2495
147,1,base,1616
148,1,base,1010
149,1,base,1258
150,1,base,337
151,1,base,1446
152,1,base,975
153,1,base,358
154,1,base,144
155,1,base,55
156,1,base,709
157,1,base,817
158,1,base,333
159,1,base,821
160,1,base,2008
161,1,base,1389
162,1,base,1697
163,1,base,615
164,1,base,2023
165,1,base,1944
166,1,base,931
167,1,base,486
168,1,base,1526
169,1,base,1081
170,1,base,1006
171,1,base,85
172,1,base,1408
173,1,base,1361
174,1,base,1771
175,1,base,2058
176,1,base,503
177,1,base,2237
178,1,base,2404
179,1,base,1563
180,1,base,1192
181,1,base,1894
182,1,base,646
183,1,base,1251
184,1,base,894
185,1,base,1586
186,1,base,1616
187,1,base,2388
188,1,base,2083
189,1,base,1021
190,1,base,1150
191,1,base,1508
192,1,base,344
193,1,base,13
194,1,base,1088
195,1,base,1483
196,1,base,1716
197,1,base,1136
198,1,base,461
199,1,base,122
200,1,base,1166
201,1,base,274
202,1,base,2143
203,1,base,1002
204,1,base,1199
205,1,base,148
206,1,base,1945
207,1,base,995
208,1,base,192
209,1,base,969
210,1,base,1165
211,1,base,994
212,1,base,1352
213,1,base,2296
214,1,base,1416
215,1,base,1544
216,1,base,223
217,1,base,775
218,1,base,2077
219,1,base,577
220,1,base,440
221,1,base,162
222,1,base,2111
223,1,base,2031
224,1,base,1487
225,1,base,1686
226,1,base,1726
227,1,base,346
228,1,base,1708
229,1,base,509
230,1,base,1983
231,1,base,1408
232,1,base,2338
233,1,base,1337
234,1,base,2074
235,1,base,2432
236,1,base,880
237,1,base,2328
238,1,base,2473
239,1,base,1797
240,1,base,244
241,1,base,100
242,1,base,898
243,1,base,1385
244,1,base,1253
245,1,base,62
246,1,base,49
247,1,base,2023
248,1,base,1387
249,1,base,1818
250,1,base,1194
251,1,base,589
252,1,base,57
253,1,base,1852
254,1,base,2327
255,1,base,1014
256,1,base,293
257,1,base,2464
258,1,base,1182
259,1,base,748
260,1,base,473
261,1,base,1620
262,1,base,670
263,1,base,760
264,1,base,1210
265,1,base,2049
266,1,base,1472
267,1,base,2258
268,1,base,518
269,1,base,877
270,1,base,1107
271,1,base,1977
272,1,base,895
273,1,base,1358
