CaseID,Activity,Type,Timestamp
0,10,complete,2004-01-01T00:00:00.000+00:00
0,5,complete,2004-01-01T00:04:18.704+00:00
0,6,complete,2004-01-01T00:18:17.253+00:00
0,3,complete,2004-01-01T00:32:29.571+00:00
0,0,complete,2004-01-01T17:56:23.134+00:00
0,2,complete,2004-01-01T18:35:14.408+00:00
0,14,complete,2004-01-01T19:44:20.520+00:00
0,11,complete,2004-01-01T19:44:20.520+00:00
1,10,complete,2004-01-01T01:00:00.000+00:00
1,5,complete,2004-01-01T01:02:19.525+00:00
1,0,complete,2004-01-01T01:11:19.530+00:00
1,6,complete,2004-01-01T01:12:48.585+00:00
1,3,complete,2004-01-01T01:20:20.498+00:00
1,2,complete,2004-01-01T20:15:47.081+00:00
1,14,complete,2004-01-01T20:32:23.703+00:00
1,11,complete,2004-01-01T20:32:23.703+00:00
2,10,complete,2004-01-01T02:00:00.000+00:00
2,5,complete,2004-01-01T02:10:41.275+00:00
2,0,complete,2004-01-01T02:18:43.718+00:00
2,6,complete,2004-01-01T03:03:45.691+00:00
2,3,complete,2004-01-01T04:06:37.631+00:00
2,2,complete,2004-01-01T04:22:57.499+00:00
2,14,complete,2004-01-01T04:24:41.299+00:00
2,11,complete,2004-01-01T04:24:41.299+00:00
3,10,complete,2004-01-01T03:00:00.000+00:00
3,5,complete,2004-01-01T19:48:50.067+00:00
3,0,complete,2004-01-01T20:07:07.539+00:00
3,6,complete,2004-01-01T20:17:45.984+00:00
3,3,complete,2004-01-01T22:03:51.377+00:00
3,2,complete,2004-01-01T22:48:05.449+00:00
3,14,complete,2004-01-01T22:52:58.491+00:00
3,11,complete,2004-01-01T22:52:58.491+00:00
4,10,complete,2004-01-01T04:00:00.000+00:00
4,5,complete,2004-01-01T04:25:28.917+00:00
4,0,complete,2004-01-01T04:28:18.693+00:00
4,6,complete,2004-01-01T04:42:06.935+00:00
4,3,complete,2004-01-01T05:52:58.531+00:00
4,2,complete,2004-01-01T06:00:07.055+00:00
4,14,complete,2004-01-01T06:06:39.125+00:00
4,11,complete,2004-01-01T06:06:39.125+00:00
5,10,complete,2004-01-01T05:00:00.000+00:00
5,5,complete,2004-01-01T05:05:41.533+00:00
5,0,complete,2004-01-01T05:32:57.321+00:00
5,6,complete,2004-01-01T05:54:31.720+00:00
5,3,complete,2004-01-01T06:11:06.986+00:00
5,2,complete,2004-01-01T08:24:54.393+00:00
5,12,complete,2004-01-01T08:25:32.472+00:00
5,7,complete,2004-01-02T00:42:02.308+00:00
5,16,complete,2004-01-02T01:11:30.214+00:00
5,18,complete,2004-01-02T01:24:37.991+00:00
5,4,complete,2004-01-02T01:48:44.546+00:00
5,9,complete,2004-01-02T01:48:44.546+00:00
6,10,complete,2004-01-01T06:00:00.000+00:00
6,5,complete,2004-01-01T06:07:27.028+00:00
6,0,complete,2004-01-01T06:09:26.473+00:00
6,6,complete,2004-01-01T07:08:37.848+00:00
6,3,complete,2004-01-01T07:16:16.794+00:00
6,2,complete,2004-01-01T07:19:12.571+00:00
6,12,complete,2004-01-01T07:36:03.996+00:00
6,7,complete,2004-01-01T08:21:16.023+00:00
6,16,complete,2004-01-01T08:27:39.874+00:00
6,18,complete,2004-01-02T00:30:16.194+00:00
6,1,complete,2004-01-02T00:49:00.120+00:00
6,8,complete,2004-01-02T00:49:00.120+00:00
7,10,complete,2004-01-01T07:00:00.000+00:00
7,5,complete,2004-01-01T07:01:13.328+00:00
7,6,complete,2004-01-01T07:05:22.883+00:00
7,0,complete,2004-01-01T07:19:19.989+00:00
7,3,complete,2004-01-01T07:55:19.668+00:00
7,2,complete,2004-01-02T00:45:27.995+00:00
7,14,complete,2004-01-02T00:47:44.649+00:00
7,11,complete,2004-01-02T00:47:44.649+00:00
8,10,complete,2004-01-01T08:00:00.000+00:00
8,5,complete,2004-01-01T08:01:47.851+00:00
8,6,complete,2004-01-01T08:09:41.390+00:00
8,3,complete,2004-01-01T08:13:37.745+00:00
8,0,complete,2004-01-01T08:52:44.617+00:00
8,2,complete,2004-01-01T10:10:15.132+00:00
8,12,complete,2004-01-01T10:41:17.152+00:00
8,7,complete,2004-01-01T11:21:09.735+00:00
8,17,complete,2004-01-01T11:26:21.222+00:00
8,18,complete,2004-01-01T12:08:04.361+00:00
8,1,complete,2004-01-01T12:38:11.138+00:00
8,8,complete,2004-01-01T12:38:11.138+00:00
9,10,complete,2004-01-01T09:00:00.000+00:00
9,5,complete,2004-01-01T09:01:13.328+00:00
9,6,complete,2004-01-01T09:05:22.883+00:00
9,0,complete,2004-01-01T09:19:19.989+00:00
9,3,complete,2004-01-01T09:55:19.668+00:00
9,2,complete,2004-01-02T02:45:27.995+00:00
9,14,complete,2004-01-02T02:47:44.649+00:00
9,11,complete,2004-01-02T02:47:44.649+00:00
10,10,complete,2004-01-01T10:00:00.000+00:00
10,5,complete,2004-01-01T10:14:36.791+00:00
10,6,complete,2004-01-01T10:16:54.415+00:00
10,3,complete,2004-01-01T10:19:26.503+00:00
10,0,complete,2004-01-01T10:23:10.458+00:00
10,2,complete,2004-01-01T11:27:48.289+00:00
10,14,complete,2004-01-01T11:46:24.226+00:00
10,11,complete,2004-01-01T11:46:24.226+00:00
11,10,complete,2004-01-01T11:00:00.000+00:00
11,5,complete,2004-01-01T11:15:17.688+00:00
11,0,complete,2004-01-01T11:29:37.864+00:00
11,6,complete,2004-01-01T11:43:29.167+00:00
11,3,complete,2004-01-01T11:53:13.734+00:00
11,2,complete,2004-01-01T12:06:25.987+00:00
11,12,complete,2004-01-01T12:16:15.065+00:00
11,7,complete,2004-01-01T14:07:32.276+00:00
11,17,complete,2004-01-01T14:35:48.172+00:00
11,18,complete,2004-01-01T15:08:25.892+00:00
11,4,complete,2004-01-01T15:29:00.654+00:00
11,9,complete,2004-01-01T15:29:00.654+00:00
12,10,complete,2004-01-01T12:00:00.000+00:00
12,5,complete,2004-01-01T12:12:16.797+00:00
12,0,complete,2004-01-01T12:42:15.229+00:00
12,6,complete,2004-01-01T12:52:08.610+00:00
12,3,complete,2004-01-01T13:00:55.002+00:00
12,2,complete,2004-01-04T07:22:45.260+00:00
12,14,complete,2004-01-04T07:32:42.140+00:00
12,11,complete,2004-01-04T07:32:42.140+00:00
13,10,complete,2004-01-01T13:00:00.000+00:00
13,5,complete,2004-01-01T13:14:50.486+00:00
13,6,complete,2004-01-01T13:20:08.106+00:00
13,0,complete,2004-01-01T13:24:44.070+00:00
13,3,complete,2004-01-01T13:46:22.302+00:00
13,2,complete,2004-01-02T07:26:17.719+00:00
13,12,complete,2004-01-02T09:52:19.872+00:00
13,7,complete,2004-01-02T10:12:33.418+00:00
13,17,complete,2004-01-02T11:07:52.289+00:00
13,18,complete,2004-01-02T11:15:47.272+00:00
13,1,complete,2004-01-02T11:35:50.736+00:00
13,8,complete,2004-01-02T11:35:50.736+00:00
14,10,complete,2004-01-01T14:00:00.000+00:00
14,5,complete,2004-01-01T14:51:09.965+00:00
14,6,complete,2004-01-01T14:58:55.128+00:00
14,0,complete,2004-01-02T07:09:09.779+00:00
14,3,complete,2004-01-02T07:20:42.629+00:00
14,2,complete,2004-01-02T07:32:22.849+00:00
14,14,complete,2004-01-02T07:37:22.528+00:00
14,11,complete,2004-01-02T07:37:22.528+00:00
15,10,complete,2004-01-01T15:00:00.000+00:00
15,5,complete,2004-01-01T16:06:14.048+00:00
15,0,complete,2004-01-01T16:48:05.703+00:00
15,6,complete,2004-01-04T09:30:10.072+00:00
15,3,complete,2004-01-04T09:40:21.524+00:00
15,2,complete,2004-01-04T09:43:08.812+00:00
15,12,complete,2004-01-04T10:08:42.542+00:00
15,7,complete,2004-01-04T10:42:27.930+00:00
15,17,complete,2004-01-04T11:03:29.438+00:00
15,18,complete,2004-01-04T11:18:40.701+00:00
15,1,complete,2004-01-04T12:51:04.317+00:00
15,8,complete,2004-01-04T12:51:04.317+00:00
16,10,complete,2004-01-01T16:00:00.000+00:00
16,5,complete,2004-01-01T16:40:54.349+00:00
16,0,complete,2004-01-01T17:36:38.995+00:00
16,6,complete,2004-01-01T17:41:26.764+00:00
16,3,complete,2004-01-01T18:09:13.845+00:00
16,2,complete,2004-01-01T18:15:04.123+00:00
16,14,complete,2004-01-01T19:11:15.386+00:00
16,11,complete,2004-01-01T19:11:15.386+00:00
17,10,complete,2004-01-01T17:00:00.000+00:00
17,5,complete,2004-01-01T17:46:54.797+00:00
17,0,complete,2004-01-01T17:54:46.243+00:00
17,6,complete,2004-01-04T12:12:45.499+00:00
17,3,complete,2004-01-04T12:17:21.312+00:00
17,2,complete,2004-01-04T12:39:28.320+00:00
17,14,complete,2004-01-04T13:12:55.624+00:00
17,11,complete,2004-01-04T13:12:55.624+00:00
18,10,complete,2004-01-01T18:00:00.000+00:00
18,5,complete,2004-01-01T19:21:33.844+00:00
18,6,complete,2004-01-01T19:21:43.987+00:00
18,3,complete,2004-01-01T19:33:01.021+00:00
18,0,complete,2004-01-01T19:42:24.015+00:00
18,2,complete,2004-01-01T19:43:32.569+00:00
18,12,complete,2004-01-01T21:13:28.624+00:00
18,7,complete,2004-01-01T21:42:27.781+00:00
18,17,complete,2004-01-01T22:08:43.649+00:00
18,18,complete,2004-01-01T22:10:13.061+00:00
18,4,complete,2004-01-01T22:42:03.629+00:00
18,9,complete,2004-01-01T22:42:03.629+00:00
19,10,complete,2004-01-01T19:00:00.000+00:00
19,5,complete,2004-01-01T19:35:11.865+00:00
19,0,complete,2004-01-01T19:38:28.271+00:00
19,6,complete,2004-01-01T20:06:03.418+00:00
19,3,complete,2004-01-01T20:18:36.613+00:00
19,2,complete,2004-01-01T22:35:56.776+00:00
19,14,complete,2004-01-02T00:08:26.309+00:00
19,11,complete,2004-01-02T00:08:26.309+00:00
20,10,complete,2004-01-01T20:00:00.000+00:00
20,5,complete,2004-01-01T20:01:10.461+00:00
20,0,complete,2004-01-01T20:11:06.107+00:00
20,6,complete,2004-01-01T20:46:38.182+00:00
20,3,complete,2004-01-01T20:49:36.021+00:00
20,2,complete,2004-01-01T20:59:02.783+00:00
20,14,complete,2004-01-01T22:55:25.181+00:00
20,11,complete,2004-01-01T22:55:25.181+00:00
21,10,complete,2004-01-01T21:00:00.000+00:00
21,5,complete,2004-01-02T13:22:13.053+00:00
21,15,complete,2004-01-02T13:49:50.865+00:00
21,13,complete,2004-01-02T14:05:55.855+00:00
21,5,complete,2004-01-02T14:12:22.828+00:00
21,0,complete,2004-01-02T14:16:54.918+00:00
21,6,complete,2004-01-02T14:20:33.925+00:00
21,3,complete,2004-01-02T14:43:57.728+00:00
21,2,complete,2004-01-02T15:23:55.266+00:00
21,12,complete,2004-01-02T15:53:42.769+00:00
21,7,complete,2004-01-02T17:25:02.315+00:00
21,16,complete,2004-01-02T18:19:31.899+00:00
21,18,complete,2004-01-02T18:28:53.733+00:00
21,1,complete,2004-01-02T19:14:16.596+00:00
