CaseID,Phase,SourceRegime,SourceTraceIndex
0,1,base,827
1,1,base,1216
2,1,base,104
3,1,base,777
4,1,base,89
5,1,base,1737
6,1,base,23
7,1,base,189
8,1,base,1351
9,1,base,1532
10,1,base,628
11,1,base,241
12,1,base,1557
13,1,base,561
14,1,base,1214
15,1,base,400
16,1,base,2168
17,1,base,1735
18,1,base,1974
19,1,base,5
20,1,base,1785
21,1,base,427
22,1,base,2431
23,1,base,1642
24,1,base,1001
25,1,base,332
26,1,base,732
27,1,base,2435
28,1,base,486
29,1,base,74
30,1,base,1521
31,1,base,1431
32,1,base,1953
33,1,base,407
34,1,base,2115
35,1,base,416
36,1,base,529
37,1,base,663
38,1,base,1049
39,1,base,1181
40,1,base,702
41,1,base,791
42,1,base,1606
43,1,base,794
44,1,base,2000
45,1,base,743
46,1,base,1428
47,1,base,1966
48,1,base,1818
49,1,base,501
50,1,base,82
51,1,base,1201
52,1,base,2255
53,1,base,2289
54,1,base,599
55,1,base,1717
56,1,base,1355
57,1,base,1795
58,1,base,1251
59,1,base,2052
60,1,base,554
61,1,base,518
62,1,base,45
63,1,base,804
64,1,base,1126
65,1,base,690
66,1,base,141
67,1,base,951
68,1,base,1473
69,1,base,1612
70,1,base,564
71,1,base,2016
72,1,base,655
73,1,base,1132
74,1,base,660
75,1,base,129
76,1,base,1936
77,1,base,1646
78,1,base,2317
79,1,base,63
80,1,base,2377
81,1,base,694
82,1,base,570
83,1,base,1957
84,1,base,767
85,1,base,1946
86,1,base,361
87,1,base,657
88,1,base,1824
89,1,base,2142
90,1,base,1750
91,1,base,490
92,1,base,424
93,1,base,2242
94,1,base,20
95,1,base,2317
96,1,base,1568
97,1,base,319
98,1,base,190
99,1,base,123
100,1,base,1452
101,1,base,1884
102,1,base,421
103,1,base,2223
104,1,base,2047
105,1,base,1144
106,1,base,760
107,1,base,2068
108,1,base,1491
109,1,base,706
110,1,base,1950
111,1,base,1265
112,1,base,2456
113,1,base,2332
114,1,base,730
115,1,base,2166
116,1,base,2029
117,1,base,1251
118,1,base,342
119,1,base,1822
120,1,base,1561
121,1,base,1212
122,1,base,1685
123,1,base,2485
124,1,base,1546
125,1,base,599
126,1,base,1582
127,1,base,635
128,1,base,1037
129,1,base,1616
130,1,base,2412
131,1,base,5
132,1,base,2263
133,1,base,1648
134,1,base,1440
135,1,base,1263
136,1,base,80
137,1,base,1445
138,1,base,963
139,1,base,2115
140,1,base,1686
141,1,base,1970
142,1,base,1196
143,1,base,654
144,1,base,584
145,1,base,374
146,1,base,1414
147,1,base,314
148,1,base,1313
149,1,base,970
150,1,base,1436
151,1,base,1957
152,1,base,1608
153,1,base,840
154,1,base,733
155,1,base,1421
156,1,base,1667
157,1,base,2046
158,1,base,1908
159,1,base,500
160,1,base,2049
161,1,base,1227
162,1,base,260
163,1,base,1263
164,1,base,904
165,1,base,1580
166,1,base,669
167,1,base,1475
168,1,base,1376
169,1,base,1599
170,1,base,2019
171,1,base,687
172,1,base,578
173,1,base,241
174,1,base,195
175,1,base,647
176,1,base,404
177,1,base,2225
178,1,base,1318
179,1,base,1802
180,1,base,1838
181,1,base,2051
182,1,base,1536
183,1,base,2050
184,1,base,1289
185,1,base,828
186,1,base,1000
187,1,base,1467
188,1,base,2237
189,1,base,654
190,1,base,1763
191,1,base,331
192,1,base,1944
193,1,base,799
194,1,base,1559
195,1,base,1781
