CaseID,Phase,SourceRegime,SourceTraceIndex
0,1,base,268
1,1,base,2440
2,1,base,672
3,1,base,587
4,1,base,1574
5,1,base,951
6,1,base,2113
7,1,base,34
8,1,base,1235
9,1,base,832
10,1,base,191
11,1,base,2346
12,1,base,2109
13,1,base,688
14,1,base,1713
15,1,base,1838
16,1,base,278
17,1,base,123
18,1,base,1995
19,1,base,147
20,1,base,237
21,1,base,858
22,1,base,2142
23,1,base,790
24,1,base,2292
25,1,base,1541
26,1,base,177
27,1,base,595
28,1,base,1901
29,1,base,321
30,1,base,8
31,1,base,1549
32,1,base,389
33,1,base,1794
34,1,base,728
35,1,base,724
36,1,base,741
37,1,base,1209
38,1,base,1254
39,1,base,2121
40,1,base,2263
41,1,base,1705
42,1,base,306
43,1,base,1483
44,1,base,2223
45,1,base,1632
46,1,base,664
47,1,base,1062
48,1,base,2308
49,1,base,1845
50,1,base,45
51,1,base,161
52,1,base,912
53,1,base,1334
54,1,base,1943
55,1,base,1854
56,1,base,2455
57,1,base,910
58,1,base,366
59,1,base,599
60,1,base,1528
61,1,base,455
62,1,base,780
63,1,base,176
64,1,base,1389
65,1,base,1733
66,1,base,1575
67,1,base,599
68,1,base,841
69,1,base,2403
70,1,base,2238
71,1,base,796
72,1,base,1155
73,1,base,1203
74,1,base,1623
75,1,base,1865
76,1,base,1035
77,1,base,1393
78,1,base,2146
79,1,base,1814
80,1,base,1159
81,1,base,326
82,1,base,367
83,1,base,657
84,1,base,706
85,1,base,761
86,1,base,1747
87,1,base,2355
88,1,base,504
89,1,base,1530
90,1,base,150
91,1,base,2058
92,1,base,1131
93,1,base,73
94,1,base,1642
95,1,base,575
96,1,base,2188
97,1,base,235
98,1,base,173
99,1,base,245
100,1,base,120
101,1,base,151
102,1,base,1654
103,1,base,835
104,1,base,1531
105,1,base,2009
106,1,base,1086
107,1,base,153
108,1,base,1828
109,1,base,1144
110,1,base,271
111,1,base,2448
112,1,base,683
113,1,base,1057
114,1,base,995
115,1,base,1898
116,1,base,2367
117,1,base,1460
118,1,base,477
119,1,base,1810
120,1,base,2255
121,1,base,876
122,1,base,2247
123,1,base,1411
124,1,base,645
125,1,base,136
126,1,base,1861
127,1,base,2399
128,1,base,948
129,1,base,1964
130,1,base,1804
131,1,base,939
132,1,base,543
133,1,base,1500
134,1,base,331
135,1,base,583
136,1,base,410
137,1,base,1991
138,1,base,140
139,1,base,889
140,1,base,2085
141,1,base,429
142,1,base,2098
143,1,base,1740
144,1,base,2051
145,1,base,915
146,1,base,690
147,1,base,1599
148,1,base,697
149,1,base,2380
150,1,base,418
151,1,base,1398
152,1,base,2209
153,1,base,1705
154,1,base,354
155,1,base,318
156,1,base,775
157,1,base,1764
158,1,base,49
159,1,base,696
160,1,base,673
161,1,base,2385
162,1,base,1851
163,1,base,634
164,1,base,842
165,1,base,2144
166,1,base,1318
167,1,base,861
168,1,base,727
169,1,base,124
170,1,base,1857
171,1,base,1747
172,1,base,814
173,1,base,1732
174,1,base,1397
175,1,base,1596
176,1,base,642
177,1,base,373
178,1,base,1713
179,1,base,853
180,1,base,1469
181,1,base,993
182,1,base,1947
183,1,base,1648
184,1,base,80
185,1,base,820
186,1,base,281
187,1,base,2032
188,1,base,839
189,1,base,836
190,1,base,2052
191,1,base,169
192,1,base,68
193,1,base,1476
194,1,base,1240
195,1,base,1251
196,1,base,2008
197,1,base,983
198,1,base,202
199,1,base,635
200,1,base,2447
201,1,base,1535
202,1,base,1923
203,1,base,599
204,1,base,216
205,1,base,724
206,1,base,600
207,1,base,914
208,1,base,2384
209,1,base,323
210,1,base,928
211,1,base,2109
212,1,base,92
213,1,base,608
214,1,base,2276
215,1,base,61
216,1,base,1489
217,1,base,938
218,1,base,1441
219,1,base,2184
220,1,base,1194
221,1,base,1419
222,1,base,1724
223,1,base,1063
224,1,base,2400
225,1,base,2176
226,1,base,1618
227,1,base,1200
228,1,base,740
229,1,base,1192
230,1,base,1157
231,1,base,1513
232,1,base,628
233,1,base,50
234,1,base,604
235,1,base,2093
236,1,base,2329
237,1,base,973
238,1,base,1327
239,1,base,102
240,1,base,1133
241,1,base,2253
242,1,base,359
243,1,base,1250
244,1,base,390
245,1,base,360
246,1,base,506
247,1,base,2366
248,1,base,2341
249,1,base,635
250,1,base,460
251,1,base,2462
252,1,base,2430
253,1,base,770
