CaseID,Activity,Type,Timestamp
0,10,complete,2004-01-01T00:00:00.000+00:00
0,5,complete,2004-01-01T00:02:29.703+00:00
0,0,complete,2004-01-01T00:19:58.013+00:00
0,6,complete,2004-01-01T00:20:19.942+00:00
0,3,complete,2004-01-01T01:01:10.695+00:00
0,2,complete,2004-01-01T01:54:39.436+00:00
0,14,complete,2004-01-01T01:57:45.357+00:00
0,11,complete,2004-01-01T01:57:45.357+00:00
1,10,complete,2004-01-01T01:00:00.000+00:00
1,5,complete,2004-01-01T01:09:31.152+00:00
1,6,complete,2004-01-01T01:12:24.968+00:00
1,3,complete,2004-01-01T01:31:52.309+00:00
1,0,complete,2004-01-01T01:38:24.855+00:00
1,2,complete,2004-01-01T02:15:42.208+00:00
1,14,complete,2004-01-01T03:48:08.048+00:00
1,11,complete,2004-01-01T03:48:08.048+00:00
2,10,complete,2004-01-01T02:00:00.000+00:00
2,5,complete,2004-01-01T03:30:05.012+00:00
2,6,complete,2004-01-01T03:46:07.356+00:00
2,3,complete,2004-01-01T20:13:47.749+00:00
2,0,complete,2004-01-01T20:48:05.377+00:00
2,2,complete,2004-01-01T21:00:36.136+00:00
2,14,complete,2004-01-01T21:17:21.793+00:00
2,11,complete,2004-01-01T21:17:21.793+00:00
3,10,complete,2004-01-01T03:00:00.000+00:00
3,5,complete,2004-01-01T04:13:16.719+00:00
3,6,complete,2004-01-01T04:13:39.330+00:00
3,3,complete,2004-01-01T04:18:04.301+00:00
3,0,complete,2004-01-01T04:35:54.389+00:00
3,2,complete,2004-01-01T05:37:17.929+00:00
3,14,complete,2004-01-01T05:40:01.067+00:00
3,11,complete,2004-01-01T05:40:01.067+00:00
4,10,complete,2004-01-01T04:00:00.000+00:00
4,5,complete,2004-01-01T04:21:59.147+00:00
4,0,complete,2004-01-01T04:35:09.380+00:00
4,6,complete,2004-01-01T04:38:58.583+00:00
4,3,complete,2004-01-01T05:26:08.528+00:00
4,2,complete,2004-01-01T06:21:42.592+00:00
4,12,complete,2004-01-01T06:42:24.526+00:00
4,7,complete,2004-01-01T06:57:46.763+00:00
4,17,complete,2004-01-03T23:32:23.635+00:00
4,18,complete,2004-01-04T00:08:30.578+00:00
4,4,complete,2004-01-04T00:17:14.905+00:00
4,9,complete,2004-01-04T00:17:14.905+00:00
5,10,complete,2004-01-01T05:00:00.000+00:00
5,5,complete,2004-01-01T05:10:45.055+00:00
5,15,complete,2004-01-01T05:13:40.681+00:00
5,13,complete,2004-01-01T06:17:40.724+00:00
5,5,complete,2004-01-01T06:17:41.690+00:00
5,0,complete,2004-01-01T06:39:32.516+00:00
5,6,complete,2004-01-01T06:47:45.345+00:00
5,3,complete,2004-01-01T07:04:08.026+00:00
5,2,complete,2004-01-01T07:37:16.897+00:00
5,14,complete,2004-01-01T08:08:29.640+00:00
5,11,complete,2004-01-01T08:08:29.640+00:00
6,10,complete,2004-01-01T06:00:00.000+00:00
6,5,complete,2004-01-01T06:01:24.646+00:00
6,0,complete,2004-01-01T06:04:43.399+00:00
6,6,complete,2004-01-01T06:44:26.797+00:00
6,3,complete,2004-01-01T07:54:56.079+00:00
6,2,complete,2004-01-01T08:29:38.336+00:00
6,14,complete,2004-01-01T08:40:38.041+00:00
6,11,complete,2004-01-01T08:40:38.041+00:00
7,10,complete,2004-01-01T07:00:00.000+00:00
7,5,complete,2004-01-01T07:05:28.243+00:00
7,0,complete,2004-01-01T07:07:10.969+00:00
7,6,complete,2004-01-01T07:14:29.496+00:00
7,3,complete,2004-01-01T07:30:10.606+00:00
7,2,complete,2004-01-01T07:45:38.132+00:00
7,12,complete,2004-01-01T07:48:48.014+00:00
7,7,complete,2004-01-01T08:45:01.354+00:00
7,16,complete,2004-01-01T09:13:32.816+00:00
7,18,complete,2004-01-01T10:53:42.372+00:00
7,1,complete,2004-01-01T10:56:57.532+00:00
7,8,complete,2004-01-01T10:56:57.532+00:00
8,10,complete,2004-01-01T08:00:00.000+00:00
8,5,complete,2004-01-01T08:52:49.750+00:00
8,0,complete,2004-01-01T09:52:30.550+00:00
8,6,complete,2004-01-01T10:16:01.142+00:00
8,3,complete,2004-01-02T02:38:01.575+00:00
8,2,complete,2004-01-02T03:35:40.328+00:00
8,12,complete,2004-01-02T04:21:16.229+00:00
8,7,complete,2004-01-02T04:58:17.793+00:00
8,17,complete,2004-01-02T05:48:15.865+00:00
8,18,complete,2004-01-02T05:57:51.035+00:00
8,4,complete,2004-01-02T05:58:26.235+00:00
8,9,complete,2004-01-02T05:58:26.235+00:00
9,10,complete,2004-01-01T09:00:00.000+00:00
9,5,complete,2004-01-01T09:05:55.909+00:00
9,0,complete,2004-01-01T09:07:48.165+00:00
9,6,complete,2004-01-01T09:28:37.794+00:00
9,3,complete,2004-01-01T09:33:38.119+00:00
9,2,complete,2004-01-01T09:53:34.670+00:00
9,14,complete,2004-01-02T03:20:41.512+00:00
9,11,complete,2004-01-02T03:20:41.512+00:00
10,10,complete,2004-01-01T10:00:00.000+00:00
10,5,complete,2004-01-01T10:06:57.101+00:00
10,6,complete,2004-01-01T10:12:47.626+00:00
10,3,complete,2004-01-02T02:42:38.621+00:00
10,0,complete,2004-01-02T02:50:52.075+00:00
10,2,complete,2004-01-02T03:47:22.685+00:00
10,12,complete,2004-01-02T04:06:28.192+00:00
10,7,complete,2004-01-02T04:22:40.159+00:00
10,17,complete,2004-01-02T04:38:39.778+00:00
10,18,complete,2004-01-02T04:38:43.835+00:00
10,1,complete,2004-01-02T04:46:29.629+00:00
10,8,complete,2004-01-02T04:46:29.629+00:00
11,10,complete,2004-01-01T11:00:00.000+00:00
11,5,complete,2004-01-01T12:38:50.480+00:00
11,6,complete,2004-01-01T12:47:05.053+00:00
11,0,complete,2004-01-01T13:03:24.612+00:00
