CaseID,Phase,SourceRegime,SourceTraceIndex
0,1,base,32
1,1,base,19
2,1,base,1651
3,1,base,2255
4,1,base,1980
5,1,base,1660
6,1,base,1416
7,1,base,701
8,1,base,1575
9,1,base,299
10,1,base,191
11,1,base,1604
12,1,base,2246
13,1,base,447
14,1,base,1340
15,1,base,899
16,1,base,1651
17,1,base,639
18,1,base,1288
19,1,base,1997
20,1,base,1085
21,1,base,1480
22,1,base,897
23,1,base,1940
24,1,base,740
25,1,base,1925
26,1,base,601
27,1,base,986
28,1,base,1075
29,1,base,153
30,1,base,1065
31,1,base,2289
32,1,base,655
33,1,base,1797
34,1,base,2472
35,1,base,381
36,1,base,59
37,1,base,1068
38,1,base,305
39,1,base,1209
40,1,base,1613
41,1,base,461
42,1,base,557
43,1,base,2293
44,1,base,10
45,1,base,571
46,1,base,2037
47,1,base,462
48,1,base,740
49,1,base,418
50,1,base,2407
51,1,base,1817
52,1,base,942
53,1,base,604
54,1,base,429
55,1,base,745
56,1,base,454
57,1,base,1858
58,1,base,1365
59,1,base,409
60,1,base,1152
61,1,base,227
62,1,base,835
63,1,base,1985
64,1,base,1421
65,1,base,87
66,1,base,71
67,1,base,559
68,1,base,1571
69,1,base,1149
70,1,base,2499
71,1,base,197
72,1,base,104
73,1,base,1034
74,1,base,2283
75,1,base,1721
76,1,base,2461
77,1,base,1975
78,1,base,697
79,1,base,912
80,1,base,1639
81,1,base,1057
82,1,base,1915
83,1,base,989
84,1,base,92
85,1,base,2265
86,1,base,2425
87,1,base,1812
88,1,base,1077
89,1,base,217
90,1,base,2209
91,1,base,2494
92,1,base,1289
93,1,base,873
94,1,base,1100
95,1,base,1591
96,1,base,1060
97,1,base,2247
98,1,base,1901
99,1,base,1822
100,1,base,2292
101,1,base,1944
102,1,base,1037
103,1,base,536
104,1,base,2044
105,1,base,1396
106,1,base,531
107,1,base,2214
108,1,base,2352
109,1,base,2483
110,1,base,797
111,1,base,1966
112,1,base,203
113,1,base,99
114,1,base,698
115,1,base,1037
116,1,base,441
117,1,base,1856
118,1,base,2269
119,1,base,807
120,1,base,2290
121,1,base,1084
122,1,base,2029
123,1,base,336
124,1,base,1377
125,1,base,791
126,1,base,35
127,1,base,547
128,1,base,1259
129,1,base,2085
130,1,base,1002
131,1,base,1782
132,1,base,2272
133,1,base,2225
134,1,base,1696
135,1,base,2293
136,1,base,675
137,1,base,1853
138,1,base,1045
139,1,base,1687
140,1,base,169
141,1,base,1125
142,1,base,2227
143,1,base,334
144,1,base,1790
145,1,base,1792
146,1,base,955
147,1,base,1992
148,1,base,2399
149,1,base,691
150,1,base,329
151,1,base,2236
152,1,base,226
153,1,base,548
154,1,base,1397
155,1,base,1343
156,1,base,401
157,1,base,825
158,1,base,2088
159,1,base,2469
160,1,base,1486
161,1,base,562
162,1,base,703
163,1,base,38
164,1,base,1542
165,1,base,2089
166,1,base,1076
167,1,base,1153
168,1,base,1767
169,1,base,697
170,1,base,1004
171,1,base,253
172,1,base,2185
173,1,base,1016
174,1,base,2404
175,1,base,1152
176,1,base,13
177,1,base,885
178,1,base,348
179,1,base,1969
180,1,base,1505
181,1,base,1150
182,1,base,781
183,1,base,1845
184,1,base,113
185,1,base,1850
186,1,base,1904
187,1,base,1567
188,1,base,1701
189,1,base,1690
190,1,base,1513
191,1,base,967
192,1,base,2147
193,1,base,1790
194,1,base,860
195,1,base,689
196,1,base,1462
197,1,base,78
198,1,base,1544
199,1,base,471
200,1,base,1101
201,1,base,1895
202,1,base,2389
203,1,base,2091
204,1,base,2121
205,1,base,1212
206,1,base,2000
207,1,base,2185
208,1,base,1745
209,1,base,2234
210,1,base,2007
211,1,base,2084
212,1,base,491
213,1,base,2335
214,1,base,447
215,1,base,235
216,1,base,596
217,1,base,867
218,1,base,2212
219,1,base,434
220,1,base,2225
221,1,base,741
222,1,base,1043
223,1,base,163
224,1,base,458
225,1,base,2046
226,1,base,583
227,1,base,1466
228,1,base,321
229,1,base,677
230,1,base,2222
231,1,base,1915
232,1,base,932
233,1,base,1481
234,1,base,2486
235,1,base,1165
236,1,base,23
237,1,base,2441
238,1,base,197
239,1,base,105
240,1,base,587
241,1,base,2192
242,1,base,1631
243,1,base,1455
244,1,base,1580
245,1,base,2498
246,1,base,1264
247,1,base,2202
248,1,base,1245
249,1,base,519
250,1,base,1810
251,1,base,1350
252,1,base,2467
253,1,base,578
254,1,base,862
255,1,base,824
256,1,base,962
257,1,base,73
258,1,base,1430
259,1,base,2286
260,1,base,1613
261,1,base,1924
262,1,base,2057
263,1,base,482
264,1,base,213
265,1,base,436
266,1,base,246
267,1,base,2474
268,1,base,2311
269,1,base,2250
270,1,base,930
271,1,base,957
272,1,base,2331
273,1,base,1305
274,1,base,398
275,1,base,984
276,1,base,694
277,1,base,463
278,1,base,991
279,1,base,1848
280,1,base,1277
281,1,base,799
282,1,base,936
283,1,base,1335
284,1,base,2496
285,1,base,1222
286,1,base,1006
287,1,base,2420
288,1,base,517
289,1,base,2460
290,1,base,717
291,1,base,2156
292,1,base,1495
293,1,base,2009
294,1,base,745
295,1,base,2245
296,1,base,1168
297,1,base,322
298,1,base,2481
299,1,base,577
300,1,base,48
301,1,base,627
302,1,base,646
303,1,base,375
304,1,base,1057
305,1,base,804
306,1,base,2350
307,1,base,1436
308,1,base,143
309,1,base,2001
310,1,base,1310
311,1,base,1043
312,1,base,1379
313,1,base,1348
314,1,base,1167
315,1,base,847
316,1,base,2397
317,1,base,2093
318,1,base,1771
319,1,base,1701
320,1,base,116
321,1,base,444
322,1,base,1945
323,1,base,1134
324,1,base,1704
325,1,base,1563
326,1,base,2262
327,1,base,122
328,1,base,1165
329,1,base,414
330,1,base,1252
331,1,base,2157
332,1,base,305
333,1,base,1800
334,1,base,2243
335,1,base,536
336,1,base,1238
337,1,base,1723
338,1,base,2483
339,1,base,1310
340,1,base,1612
341,1,base,2090
342,1,base,609
343,1,base,47
344,1,base,1106
345,1,base,2100
346,1,base,1495
347,1,base,2364
348,1,base,1632
349,1,base,1393
350,1,base,722
351,1,base,2003
352,1,base,2487
353,1,base,1843
354,1,base,1331
355,1,base,1668
356,1,base,1228
357,1,base,1360
358,1,base,164
359,1,base,908
360,1,base,720
361,1,base,45
362,1,base,823
363,1,base,1011
364,1,base,2260
365,1,base,99
366,1,base,998
367,1,base,1012
368,1,base,391
369,1,base,719
370,1,base,502
371,1,base,184
372,1,base,1545
373,1,base,414
374,1,base,2410
375,1,base,333
376,1,base,32
377,1,base,331
378,1,base,172
379,1,base,2453
380,1,base,2287
381,1,base,2218
382,1,base,2076
383,1,base,1044
384,1,base,399
385,1,base,1069
386,1,base,635
387,1,base,245
388,1,base,244
389,1,base,1552
390,1,base,583
391,1,base,325
392,1,base,800
393,1,base,1430
394,1,base,1428
395,1,base,1769
396,1,base,1143
397,1,base,1025
398,1,base,2331
399,1,base,1257
400,1,base,895
401,1,base,1157
402,1,base,153
403,1,base,183
404,1,base,1730
405,1,base,1693
406,1,base,349
407,1,base,2080
408,1,base,1026
409,1,base,1176
410,1,base,633
411,1,base,279
412,1,base,2371
413,1,base,864
414,1,base,1239
415,1,base,1961
416,1,base,393
417,1,base,59
418,1,base,6
419,1,base,947
420,1,base,1157
421,1,base,1
422,1,base,1063
423,1,base,1126
424,1,base,850
425,1,base,1289
426,1,base,755
427,1,base,873
428,1,base,467
429,1,base,834
430,1,base,1236
431,1,base,1301
432,1,base,1819
433,1,base,1591
434,1,base,2091
435,1,base,642
436,1,base,2024
437,1,base,1489
438,1,base,294
439,1,base,2129
440,1,base,1990
441,1,base,1516
442,1,base,2046
443,1,base,841
444,1,base,1411
445,1,base,862
446,1,base,1937
447,1,base,1890
448,1,base,605
449,1,base,1743
450,1,base,1873
451,1,base,755
452,1,base,2137
453,1,base,887
454,1,base,1162
455,1,base,1056
456,1,base,39
457,1,base,87
458,1,base,2113
459,1,base,1474
460,1,base,1782
461,1,base,571
462,1,base,133
463,1,base,1046
464,1,base,1730
465,1,base,1464
466,1,base,1344
467,1,base,2264
468,1,base,1962
469,1,base,926
470,1,base,577
471,1,base,2180
472,1,base,1302
473,1,base,470
474,1,base,1204
475,1,base,968
476,1,base,279
477,1,base,1196
478,1,base,617
479,1,base,63
480,1,base,542
481,1,base,1216
482,1,base,2311
483,1,base,683
484,1,base,1448
485,1,base,1357
486,1,base,2424
487,1,base,1219
488,1,base,1633
489,1,base,1544
490,1,base,414
491,1,base,1752
492,1,base,767
493,1,base,1051
494,1,base,107
495,1,base,2080
496,1,base,880
497,1,base,707
498,1,base,1662
499,1,base,1091
500,1,base,1580
501,1,base,1115
502,1,base,487
503,1,base,2056
504,1,base,1233
505,1,base,1294
506,1,base,1999
507,1,base,2454
508,1,base,969
509,1,base,1465
510,1,base,1540
511,1,base,2211
512,1,base,1478
513,1,base,990
514,1,base,2422
515,1,base,2263
516,1,base,1003
517,1,base,2271
518,1,base,509
519,1,base,1513
520,1,base,1913
521,1,base,574
522,1,base,786
523,1,base,546
524,1,base,2442
525,1,base,1129
526,1,base,1687
527,1,base,386
528,1,base,1635
529,1,base,2059
530,1,base,1155
531,1,base,1188
532,1,base,235
533,1,base,2328
534,1,base,792
535,1,base,1718
536,1,base,1420
537,1,base,1837
538,1,base,110
539,1,base,1516
540,1,base,1507
541,1,base,1016
542,1,base,2109
543,1,base,1549
544,1,base,1458
545,1,base,1156
546,1,base,94
547,1,base,2388
548,1,base,1843
549,1,base,1883
550,1,base,132
551,1,base,341
552,1,base,869
553,1,base,2307
554,1,base,246
555,1,base,2086
556,1,base,131
557,1,base,2497
558,1,base,542
559,1,base,2348
560,1,base,2425
561,1,base,1547
562,1,base,731
563,1,base,552
564,1,base,963
565,1,base,2181
566,1,base,469
567,1,base,1201
568,1,base,2217
569,1,base,1718
570,1,base,367
571,1,base,1471
572,1,base,1296
573,1,base,1366
574,1,base,668
575,1,base,1001
576,1,base,1351
577,1,base,68
578,1,base,1791
579,1,base,1125
580,1,base,1757
581,1,base,1194
582,1,base,1326
583,1,base,2208
584,1,base,378
585,1,base,1184
586,1,base,89
587,1,base,1499
588,1,base,161
589,1,base,406
590,1,base,729
591,1,base,1213
592,1,base,2288
593,1,base,225
594,1,base,2073
595,1,base,137
596,1,base,523
597,1,base,1304
598,1,base,1838
599,1,base,610
600,1,base,2246
601,1,base,2499
602,1,base,586
603,1,base,814
604,1,base,83
605,1,base,821
606,1,base,735
607,1,base,1227
608,1,base,1561
609,1,base,839
610,1,base,2229
611,1,base,1985
612,1,base,328
613,1,base,1488
614,1,base,527
615,1,base,1774
616,1,base,358
617,1,base,218
618,1,base,1526
619,1,base,1193
620,1,base,1442
621,1,base,714
622,1,base,387
623,1,base,1401
624,1,base,1450
625,1,base,453
626,1,base,2302
627,1,base,1749
628,1,base,833
629,1,base,1621
630,1,base,1202
631,1,base,1731
632,1,base,1827
633,1,base,2308
634,1,base,1150
635,1,base,788
636,1,base,888
637,1,base,2307
638,1,base,746
639,1,base,1612
640,1,base,60
641,1,base,1519
642,1,base,646
643,1,base,178
644,1,base,1915
645,1,base,1940
646,1,base,511
647,1,base,1363
648,1,base,78
649,1,base,624
650,1,base,1871
651,1,base,1862
652,1,base,2471
653,1,base,1398
654,1,base,1579
655,1,base,2452
656,1,base,1468
657,1,base,1305
658,1,base,501
659,1,base,222
660,1,base,1210
661,1,base,970
662,1,base,1389
663,1,base,1645
664,1,base,2457
665,1,base,1591
666,1,base,2337
667,1,base,1328
668,1,base,2257
669,1,base,1850
670,1,base,2420
671,1,base,2377
672,1,base,2159
673,1,base,1886
674,1,base,158
675,1,base,474
676,1,base,1
677,1,base,1301
678,1,base,1285
679,1,base,517
680,1,base,1409
681,1,base,1823
682,1,base,517
683,1,base,1182
684,1,base,961
685,1,base,2486
686,1,base,62
687,1,base,884
688,1,base,1125
689,1,base,1152
690,1,base,587
691,1,base,568
692,1,base,1320
693,1,base,229
694,1,base,1551
695,1,base,160
696,1,base,846
697,1,base,2223
698,1,base,50
699,1,base,1091
700,1,base,1995
701,1,base,2138
702,1,base,534
