CaseID,Activity,Type,Timestamp
0,10,complete,2004-01-01T00:00:00.000+00:00
0,5,complete,2004-01-01T16:23:07.649+00:00
0,0,complete,2004-01-01T16:45:09.019+00:00
0,6,complete,2004-01-01T17:18:56.446+00:00
0,3,complete,2004-01-01T17:25:39.616+00:00
0,2,complete,2004-01-01T17:54:27.549+00:00
0,12,complete,2004-01-01T17:54:36.345+00:00
0,7,complete,2004-01-01T18:07:12.589+00:00
0,16,complete,2004-01-01T18:36:19.947+00:00
0,18,complete,2004-01-01T18:39:59.468+00:00
0,4,complete,2004-01-01T19:03:48.509+00:00
0,9,complete,2004-01-01T19:03:48.509+00:00
1,10,complete,2004-01-01T01:00:00.000+00:00
1,5,complete,2004-01-01T01:03:46.124+00:00
1,0,complete,2004-01-01T01:05:01.063+00:00
1,6,complete,2004-01-01T01:42:31.625+00:00
1,3,complete,2004-01-01T01:53:07.278+00:00
1,2,complete,2004-01-01T02:15:57.140+00:00
1,12,complete,2004-01-01T02:49:11.931+00:00
1,7,complete,2004-01-01T03:14:32.567+00:00
1,16,complete,2004-01-01T03:38:29.148+00:00
1,18,complete,2004-01-01T03:42:01.998+00:00
1,4,complete,2004-01-01T03:52:32.868+00:00
1,9,complete,2004-01-01T03:52:32.868+00:00
2,10,complete,2004-01-01T02:00:00.000+00:00
2,5,complete,2004-01-01T02:03:27.772+00:00
2,6,complete,2004-01-01T02:11:14.505+00:00
2,0,complete,2004-01-01T02:14:29.352+00:00
2,3,complete,2004-01-01T02:25:31.676+00:00
2,2,complete,2004-01-01T02:45:07.649+00:00
2,12,complete,2004-01-01T03:14:10.312+00:00
2,7,complete,2004-01-01T04:28:42.959+00:00
2,17,complete,2004-01-01T04:52:05.696+00:00
2,18,complete,2004-01-01T05:44:27.139+00:00
2,4,complete,2004-01-01T06:29:40.241+00:00
2,9,complete,2004-01-01T06:29:40.241+00:00
3,10,complete,2004-01-01T03:00:00.000+00:00
3,5,complete,2004-01-01T19:57:47.001+00:00
3,6,complete,2004-01-01T20:06:06.460+00:00
3,3,complete,2004-01-01T20:11:51.333+00:00
3,0,complete,2004-01-01T20:15:12.259+00:00
3,2,complete,2004-01-01T20:44:06.402+00:00
3,12,complete,2004-01-01T20:46:34.902+00:00
3,7,complete,2004-01-01T20:54:07.776+00:00
3,17,complete,2004-01-01T21:30:32.137+00:00
3,18,complete,2004-01-01T21:37:37.462+00:00
3,4,complete,2004-01-01T22:01:37.915+00:00
3,9,complete,2004-01-01T22:01:37.915+00:00
4,10,complete,2004-01-01T04:00:00.000+00:00
4,5,complete,2004-01-03T20:42:54.357+00:00
4,6,complete,2004-01-03T20:52:50.010+00:00
4,0,complete,2004-01-03T20:55:06.894+00:00
4,3,complete,2004-01-03T21:51:07.438+00:00
4,2,complete,2004-01-03T22:13:34.064+00:00
4,12,complete,2004-01-03T22:38:24.145+00:00
4,7,complete,2004-01-03T23:35:18.878+00:00
4,16,complete,2004-01-03T23:40:56.080+00:00
4,18,complete,2004-01-04T00:24:09.733+00:00
4,4,complete,2004-01-04T00:28:04.751+00:00
4,9,complete,2004-01-04T00:28:04.751+00:00
5,10,complete,2004-01-01T05:00:00.000+00:00
5,5,complete,2004-01-03T21:19:09.781+00:00
5,15,complete,2004-01-03T21:42:31.031+00:00
5,13,complete,2004-01-03T23:11:28.105+00:00
5,5,complete,2004-01-03T23:45:25.665+00:00
5,6,complete,2004-01-03T23:45:30.619+00:00
5,3,complete,2004-01-04T00:17:30.328+00:00
5,0,complete,2004-01-04T00:20:09.544+00:00
5,2,complete,2004-01-04T00:31:25.478+00:00
5,14,complete,2004-01-04T01:18:17.133+00:00
5,11,complete,2004-01-04T01:18:17.133+00:00
6,10,complete,2004-01-01T06:00:00.000+00:00
6,5,complete,2004-01-01T22:35:45.676+00:00
