CaseID,Phase,SourceRegime,SourceTraceIndex
0,1,base,1866
1,1,base,1086
2,1,base,1013
3,1,base,436
4,1,base,1908
5,1,base,2380
6,1,base,522
7,1,base,1333
8,1,base,2181
9,1,base,1481
10,1,base,2283
11,1,base,1568
12,1,base,1237
13,1,base,1221
14,1,base,604
15,1,base,2332
16,1,base,220
17,1,base,1734
18,1,base,1447
19,1,base,1713
20,1,base,765
21,1,base,1806
22,1,base,2313
23,1,base,483
24,1,base,1860
25,1,base,1731
26,1,base,813
27,1,base,809
28,1,base,562
29,1,base,398
30,1,base,1655
31,1,base,1822
32,1,base,1914
33,1,base,1961
34,1,base,1213
35,1,base,405
36,1,base,1197
37,1,base,741
38,1,base,910
39,1,base,1515
40,1,base,2388
41,1,base,2349
42,1,base,597
43,1,base,2352
44,1,base,1572
45,1,base,1297
46,1,base,965
47,1,base,657
48,1,base,212
49,1,base,2297
50,1,base,1134
51,1,base,99
52,1,base,1802
53,1,base,1020
54,1,base,1029
55,1,base,2088
56,1,base,1893
57,1,base,281
58,1,base,2247
59,1,base,681
60,1,base,1847
61,1,base,2076
62,1,base,1112
63,1,base,1957
64,1,base,1809
65,1,base,1672
66,1,base,1533
67,1,base,1901
68,1,base,1791
69,1,base,1810
70,1,base,848
71,1,base,327
72,1,base,2250
73,1,base,93
74,1,base,1375
75,1,base,1045
76,1,base,1272
77,1,base,524
78,1,base,853
79,1,base,100
80,1,base,778
81,1,base,1759
82,1,base,2212
83,1,base,1707
84,1,base,1649
85,1,base,2270
86,1,base,697
87,1,base,1637
88,1,base,963
89,1,base,2120
90,1,base,1930
91,1,base,1201
92,1,base,1494
93,1,base,1502
94,1,base,1141
95,1,base,1364
96,1,base,73
97,1,base,1291
98,1,base,2454
99,1,base,1418
100,1,base,1873
101,1,base,2110
102,1,base,942
103,1,base,146
104,1,base,953
105,1,base,1642
106,1,base,1255
107,1,base,561
108,1,base,436
109,1,base,950
110,1,base,2358
111,1,base,1479
112,1,base,1367
113,1,base,1896
114,1,base,2269
115,1,base,1955
116,1,base,1477
117,1,base,400
118,1,base,1869
119,1,base,689
120,1,base,2166
121,1,base,1021
122,1,base,544
123,1,base,456
124,1,base,2368
125,1,base,645
126,1,base,1395
127,1,base,1149
128,1,base,1373
129,1,base,1169
130,1,base,1725
131,1,base,2191
132,1,base,2025
133,1,base,825
134,1,base,208
135,1,base,2279
136,1,base,768
137,1,base,1531
138,1,base,1282
139,1,base,2079
140,1,base,2062
141,1,base,1933
142,1,base,1193
143,1,base,922
144,1,base,794
145,1,base,1261
146,1,base,38
147,1,base,2496
148,1,base,2451
149,1,base,716
150,1,base,2061
151,1,base,1649
152,1,base,2100
153,1,base,2409
154,1,base,1835
155,1,base,648
156,1,base,402
157,1,base,1827
158,1,base,2155
159,1,base,454
160,1,base,2238
161,1,base,220
162,1,base,640
163,1,base,2357
164,1,base,1110
165,1,base,968
166,1,base,1476
167,1,base,2054
168,1,base,581
169,1,base,321
170,1,base,955
171,1,base,772
172,1,base,755
173,1,base,402
174,1,base,1791
175,1,base,1190
176,1,base,2243
177,1,base,1574
178,1,base,35
179,1,base,1437
180,1,base,1512
181,1,base,2160
182,1,base,1338
183,1,base,494
184,1,base,548
185,1,base,2188
186,1,base,1486
187,1,base,2371
188,1,base,1854
189,1,base,860
190,1,base,60
191,1,base,1618
192,1,base,125
193,1,base,1276
194,1,base,1927
195,1,base,2015
196,1,base,908
197,1,base,321
198,1,base,658
199,1,base,624
200,1,base,661
201,1,base,1753
202,1,base,2353
203,1,base,759
204,1,base,2317
205,1,base,2068
206,1,base,2128
207,1,base,1921
208,1,base,222
209,1,base,2009
210,1,base,1747
211,1,base,1613
212,1,base,939
213,1,base,1548
214,1,base,1272
215,1,base,129
216,1,base,142
217,1,base,2257
218,1,base,2389
219,1,base,1977
220,1,base,2119
221,1,base,1266
222,1,base,213
223,1,base,2175
224,1,base,2407
225,1,base,1786
226,1,base,1709
227,1,base,2340
228,1,base,2419
229,1,base,833
230,1,base,51
231,1,base,1336
232,1,base,70
233,1,base,1526
234,1,base,1036
235,1,base,2190
236,1,base,1194
237,1,base,133
238,1,base,2439
239,1,base,2486
240,1,base,1633
241,1,base,1789
242,1,base,924
243,1,base,657
244,1,base,1053
245,1,base,2491
246,1,base,847
247,1,base,1979
248,1,base,785
249,1,base,755
250,1,base,1571
251,1,base,2236
252,1,base,214
253,1,base,96
254,1,base,328
