CaseID,Phase,SourceRegime,SourceTraceIndex
0,1,base,891
1,1,base,977
2,1,base,1245
3,1,base,541
4,1,base,1042
5,1,base,2
6,1,base,161
7,1,base,2053
8,1,base,2372
9,1,base,1553
10,1,base,399
11,1,base,356
12,1,base,987
13,1,base,1034
14,1,base,369
15,1,base,1138
16,1,base,648
17,1,base,2297
18,1,base,2062
19,1,base,2398
20,1,base,1191
21,1,base,1524
22,1,base,510
23,1,base,2033
24,1,base,1002
25,1,base,2390
26,1,base,1123
27,1,base,72
28,1,base,1098
29,1,base,366
30,1,base,842
31,1,base,2355
32,1,base,2439
33,1,base,1294
34,1,base,972
35,1,base,1315
36,1,base,2393
37,1,base,75
38,1,base,85
39,1,base,527
40,1,base,1339
41,1,base,1463
42,1,base,1142
43,1,base,1483
44,1,base,1565
45,1,base,2042
46,1,base,694
47,1,base,1108
48,1,base,1877
49,1,base,989
50,1,base,1725
51,1,base,2075
52,1,base,1453
53,1,base,1350
54,1,base,2478
55,1,base,1476
56,1,base,1769
57,1,base,919
58,1,base,1542
59,1,base,1843
60,1,base,1291
61,1,base,878
62,1,base,1597
63,1,base,477
64,1,base,1325
65,1,base,885
66,1,base,270
67,1,base,353
68,1,base,682
69,1,base,490
70,1,base,192
71,1,base,347
72,1,base,1083
73,1,base,1393
74,1,base,2225
75,1,base,124
76,1,base,779
77,1,base,1293
78,1,base,723
79,1,base,2074
80,1,base,2279
81,1,base,2159
82,1,base,2017
83,1,base,989
84,1,base,1634
85,1,base,798
86,1,base,2298
87,1,base,1930
88,1,base,1890
89,1,base,2071
90,1,base,1551
91,1,base,1644
92,1,base,2287
93,1,base,1472
94,1,base,1050
95,1,base,2373
96,1,base,1666
97,1,base,1401
98,1,base,2165
99,1,base,2394
100,1,base,1581
101,1,base,746
102,1,base,1027
103,1,base,2189
104,1,base,2169
105,1,base,1664
106,1,base,321
107,1,base,904
108,1,base,1138
109,1,base,2408
110,1,base,915
111,1,base,467
112,1,base,1335
113,1,base,1183
114,1,base,1761
115,1,base,1463
116,1,base,1917
117,1,base,753
118,1,base,1544
119,1,base,1054
120,1,base,1042
121,1,base,1999
122,1,base,179
123,1,base,928
124,1,base,2443
125,1,base,996
126,1,base,2246
127,1,base,299
128,1,base,1812
129,1,base,370
130,1,base,1597
131,1,base,1778
132,1,base,332
133,1,base,1709
134,1,base,838
135,1,base,1703
136,1,base,1218
137,1,base,1893
138,1,base,1041
139,1,base,654
140,1,base,2486
141,1,base,2145
142,1,base,1618
143,1,base,1176
144,1,base,1899
145,1,base,145
146,1,base,2467
147,1,base,2019
148,1,base,1759
149,1,base,167
150,1,base,140
151,1,base,665
152,1,base,896
153,1,base,1184
154,1,base,1885
155,1,base,350
156,1,base,991
157,1,base,2116
158,1,base,899
159,1,base,1436
160,1,base,2186
161,1,base,1347
162,1,base,1964
163,1,base,1456
164,1,base,1356
165,1,base,874
166,1,base,1831
167,1,base,1460
168,1,base,754
169,1,base,2149
170,1,base,2184
171,1,base,2040
172,1,base,777
173,1,base,1324
174,1,base,2383
175,1,base,965
176,1,base,291
177,1,base,248
178,1,base,285
179,1,base,1367
180,1,base,1504
181,1,base,1337
182,1,base,121
183,1,base,880
184,1,base,977
185,1,base,1328
186,1,base,2206
187,1,base,371
188,1,base,1296
189,1,base,551
190,1,base,723
191,1,base,707
192,1,base,1565
193,1,base,524
194,1,base,2359
195,1,base,1948
196,1,base,1561
197,1,base,1847
198,1,base,2454
199,1,base,932
200,1,base,870
201,1,base,275
202,1,base,1973
203,1,base,940
204,1,base,2237
205,1,base,1579
206,1,base,1118
207,1,base,1587
208,1,base,813
209,1,base,1291
210,1,base,223
211,1,base,330
212,1,base,1546
213,1,base,1714
214,1,base,843
215,1,base,1081
216,1,base,475
217,1,base,1842
218,1,base,1564
219,1,base,194
220,1,base,1245
221,1,base,1967
222,1,base,1303
223,1,base,2222
224,1,base,311
225,1,base,1582
226,1,base,1225
227,1,base,609
228,1,base,1728
229,1,base,265
230,1,base,352
231,1,base,2153
232,1,base,1015
233,1,base,1420
234,1,base,1932
235,1,base,1336
236,1,base,1041
237,1,base,1373
238,1,base,2342
239,1,base,1417
240,1,base,2320
241,1,base,1075
242,1,base,1611
243,1,base,407
244,1,base,2398
245,1,base,1106
246,1,base,75
247,1,base,1437
248,1,base,1268
249,1,base,471
250,1,base,2124
251,1,base,97
