CaseID,Activity,Type,Timestamp
0,11,complete,2004-01-01T00:00:00.000+00:00
0,6,complete,2004-01-01T00:08:00.062+00:00
0,16,complete,2004-01-01T00:48:48.973+00:00
0,14,complete,2004-01-01T00:51:03.631+00:00
0,6,complete,2004-01-01T00:53:26.793+00:00
0,1,complete,2004-01-01T01:01:13.991+00:00
0,7,complete,2004-01-01T03:08:38.716+00:00
0,4,complete,2004-01-01T03:51:00.087+00:00
0,3,complete,2004-01-01T04:21:57.084+00:00
0,13,complete,2004-01-01T04:25:13.755+00:00
0,8,complete,2004-01-01T04:29:51.441+00:00
0,17,complete,2004-01-03T20:41:33.578+00:00
0,19,complete,2004-01-03T20:42:56.947+00:00
0,5,complete,2004-01-03T21:20:12.681+00:00
0,10,complete,2004-01-03T21:20:12.681+00:00
1,11,complete,2004-01-01T01:00:00.000+00:00
1,6,complete,2004-01-01T01:35:12.976+00:00
1,1,complete,2004-01-01T01:43:46.905+00:00
1,7,complete,2004-01-01T02:19:24.366+00:00
1,4,complete,2004-01-03T19:53:57.697+00:00
1,3,complete,2004-01-03T19:55:07.080+00:00
1,15,complete,2004-01-03T20:18:20.423+00:00
1,12,complete,2004-01-03T20:18:20.423+00:00
2,11,complete,2004-01-01T02:00:00.000+00:00
2,6,complete,2004-01-01T02:10:48.025+00:00
2,7,complete,2004-01-01T02:33:41.086+00:00
2,1,complete,2004-01-01T02:39:41.311+00:00
2,4,complete,2004-01-01T02:56:22.040+00:00
2,3,complete,2004-01-01T03:03:57.979+00:00
2,15,complete,2004-01-01T03:47:59.948+00:00
2,12,complete,2004-01-01T03:47:59.948+00:00
3,11,complete,2004-01-01T03:00:00.000+00:00
3,6,complete,2004-01-01T03:23:38.726+00:00
3,7,complete,2004-01-01T03:43:10.890+00:00
3,1,complete,2004-01-01T03:44:06.087+00:00
3,4,complete,2004-01-01T04:24:06.014+00:00
3,3,complete,2004-01-01T05:53:47.700+00:00
3,13,complete,2004-01-01T06:00:19.316+00:00
3,8,complete,2004-01-01T06:08:52.015+00:00
3,17,complete,2004-01-01T06:09:24.870+00:00
3,19,complete,2004-01-01T06:18:54.729+00:00
3,2,complete,2004-01-01T06:20:52.400+00:00
3,9,complete,2004-01-01T06:20:52.400+00:00
4,11,complete,2004-01-01T04:00:00.000+00:00
4,6,complete,2004-01-01T04:03:41.720+00:00
4,7,complete,2004-01-01T04:17:56.847+00:00
4,4,complete,2004-01-01T04:19:18.785+00:00
4,1,complete,2004-01-01T04:31:12.217+00:00
4,3,complete,2004-01-01T05:20:59.510+00:00
4,15,complete,2004-01-01T05:26:08.084+00:00
4,12,complete,2004-01-01T05:26:08.084+00:00
5,11,complete,2004-01-01T05:00:00.000+00:00
5,6,complete,2004-01-01T05:21:05.546+00:00
5,1,complete,2004-01-01T05:35:44.797+00:00
5,7,complete,2004-01-01T06:06:32.315+00:00
5,4,complete,2004-01-01T06:38:06.744+00:00
5,3,complete,2004-01-01T07:07:09.882+00:00
5,13,complete,2004-01-01T08:19:34.021+00:00
5,8,complete,2004-01-01T08:30:36.119+00:00
5,17,complete,2004-01-01T09:20:16.154+00:00
5,19,complete,2004-01-01T09:22:23.357+00:00
5,5,complete,2004-01-01T10:22:47.761+00:00
5,10,complete,2004-01-01T10:22:47.761+00:00
6,11,complete,2004-01-01T06:00:00.000+00:00
6,6,complete,2004-01-01T06:32:18.932+00:00
6,16,complete,2004-01-01T06:35:50.883+00:00
6,14,complete,2004-01-01T08:53:47.399+00:00
6,6,complete,2004-01-01T09:09:18.530+00:00
6,7,complete,2004-01-01T09:19:52.094+00:00
6,4,complete,2004-01-01T09:23:32.168+00:00
6,1,complete,2004-01-01T09:41:45.096+00:00
6,3,complete,2004-01-01T10:48:01.373+00:00
6,15,complete,2004-01-01T11:27:19.492+00:00
6,12,complete,2004-01-01T11:27:19.492+00:00
7,11,complete,2004-01-01T07:00:00.000+00:00
7,6,complete,2004-01-01T07:09:08.782+00:00
7,1,complete,2004-01-01T07:38:50.684+00:00
7,7,complete,2004-01-01T07:44:57.330+00:00
7,4,complete,2004-01-01T07:45:53.660+00:00
7,3,complete,2004-01-01T07:54:14.536+00:00
7,13,complete,2004-01-01T08:22:15.106+00:00
7,8,complete,2004-01-01T08:31:51.997+00:00
7,18,complete,2004-01-01T08:47:39.797+00:00
7,19,complete,2004-01-01T09:19:27.178+00:00
7,2,complete,2004-01-01T09:38:43.845+00:00
7,9,complete,2004-01-01T09:38:43.845+00:00
8,11,complete,2004-01-01T08:00:00.000+00:00
8,6,complete,2004-01-01T08:01:18.286+00:00
8,7,complete,2004-01-01T08:10:43.562+00:00
8,4,complete,2004-01-01T08:44:15.359+00:00
8,1,complete,2004-01-01T09:09:31.419+00:00
8,3,complete,2004-01-01T10:40:32.049+00:00
8,15,complete,2004-01-01T10:54:36.023+00:00
8,12,complete,2004-01-01T10:54:36.023+00:00
9,11,complete,2004-01-01T09:00:00.000+00:00
9,6,complete,2004-01-01T10:25:11.640+00:00
9,7,complete,2004-01-01T10:28:28.454+00:00
9,4,complete,2004-01-01T10:50:42.644+00:00
9,1,complete,2004-01-01T13:07:31.950+00:00
9,3,complete,2004-01-01T13:13:42.140+00:00
9,15,complete,2004-01-01T13:45:49.062+00:00
9,12,complete,2004-01-01T13:45:49.062+00:00
10,11,complete,2004-01-01T10:00:00.000+00:00
10,6,complete,2004-01-01T10:19:43.522+00:00
10,7,complete,2004-01-04T02:54:51.500+00:00
10,1,complete,2004-01-04T03:07:39.368+00:00
10,4,complete,2004-01-04T03:14:12.627+00:00
10,3,complete,2004-01-04T03:45:45.842+00:00
10,15,complete,2004-01-04T04:09:15.526+00:00
10,12,complete,2004-01-04T04:09:15.526+00:00
11,11,complete,2004-01-01T11:00:00.000+00:00
11,6,complete,2004-01-01T11:07:10.332+00:00
11,7,complete,2004-01-01T11:46:13.562+00:00
11,4,complete,2004-01-01T11:51:58.086+00:00
11,1,complete,2004-01-01T11:53:51.237+00:00
11,3,complete,2004-01-01T11:55:57.278+00:00
11,15,complete,2004-01-01T12:02:00.574+00:00
11,12,complete,2004-01-01T12:02:00.574+00:00
12,11,complete,2004-01-01T12:00:00.000+00:00
12,6,complete,2004-01-01T12:05:37.908+00:00
12,1,complete,2004-01-01T12:08:52.575+00:00
12,7,complete,2004-01-01T13:25:05.381+00:00
12,4,complete,2004-01-01T14:13:29.754+00:00
12,3,complete,2004-01-01T14:19:51.067+00:00
12,13,complete,2004-01-01T14:50:08.157+00:00
12,8,complete,2004-01-01T15:10:48.957+00:00
12,17,complete,2004-01-01T15:28:45.079+00:00
12,19,complete,2004-01-01T15:34:56.500+00:00
12,5,complete,2004-01-01T16:09:31.525+00:00
12,10,complete,2004-01-01T16:09:31.525+00:00
13,11,complete,2004-01-01T13:00:00.000+00:00
13,6,complete,2004-01-01T13:53:56.241+00:00
13,1,complete,2004-01-01T13:59:41.602+00:00
13,7,complete,2004-01-01T14:32:44.798+00:00
13,4,complete,2004-01-01T14:53:25.767+00:00
13,3,complete,2004-01-01T15:12:54.059+00:00
13,15,complete,2004-01-01T16:26:12.605+00:00
13,12,complete,2004-01-01T16:26:12.605+00:00
14,11,complete,2004-01-01T14:00:00.000+00:00
14,6,complete,2004-01-01T15:05:07.609+00:00
14,16,complete,2004-01-01T15:08:26.537+00:00
14,14,complete,2004-01-01T15:23:56.394+00:00
14,6,complete,2004-01-01T16:41:00.552+00:00
14,1,complete,2004-01-01T16:55:24.538+00:00
14,7,complete,2004-01-01T18:17:28.969+00:00
14,4,complete,2004-01-01T18:24:00.454+00:00
14,3,complete,2004-01-01T18:27:25.429+00:00
14,13,complete,2004-01-01T18:49:05.661+00:00
14,8,complete,2004-01-01T19:01:41.728+00:00
14,18,complete,2004-01-01T19:37:02.513+00:00
14,19,complete,2004-01-01T20:26:12.218+00:00
14,2,complete,2004-01-01T21:25:19.730+00:00
14,9,complete,2004-01-01T21:25:19.730+00:00
15,11,complete,2004-01-01T15:00:00.000+00:00
15,6,complete,2004-01-01T15:07:29.185+00:00
15,1,complete,2004-01-01T15:12:06.518+00:00
15,7,complete,2004-01-01T15:15:39.861+00:00
15,4,complete,2004-01-01T15:17:08.942+00:00
15,3,complete,2004-01-01T16:12:32.353+00:00
15,15,complete,2004-01-01T16:14:48.095+00:00
15,12,complete,2004-01-01T16:14:48.095+00:00
16,11,complete,2004-01-01T16:00:00.000+00:00
16,6,complete,2004-01-01T16:18:25.949+00:00
16,7,complete,2004-01-01T16:42:18.347+00:00
16,1,complete,2004-01-01T17:00:38.398+00:00
16,4,complete,2004-01-01T17:01:39.627+00:00
16,3,complete,2004-01-01T17:33:59.381+00:00
16,15,complete,2004-01-01T17:55:13.722+00:00
16,12,complete,2004-01-01T17:55:13.722+00:00
17,11,complete,2004-01-01T17:00:00.000+00:00
17,6,complete,2004-01-01T17:02:39.655+00:00
17,7,complete,2004-01-01T17:15:40.636+00:00
17,4,complete,2004-01-01T17:20:55.109+00:00
17,1,complete,2004-01-01T17:48:48.069+00:00
17,3,complete,2004-01-01T18:01:02.328+00:00
17,13,complete,2004-01-01T18:05:55.049+00:00
17,8,complete,2004-01-01T18:08:44.535+00:00
17,18,complete,2004-01-01T18:25:11.861+00:00
17,19,complete,2004-01-01T18:48:35.010+00:00
17,5,complete,2004-01-01T19:20:07.279+00:00
17,10,complete,2004-01-01T19:20:07.279+00:00
18,11,complete,2004-01-01T18:00:00.000+00:00
18,6,complete,2004-01-01T18:12:03.738+00:00
18,1,complete,2004-01-01T18:14:12.685+00:00
18,7,complete,2004-01-01T18:19:25.485+00:00
18,4,complete,2004-01-01T18:56:24.138+00:00
18,3,complete,2004-01-02T11:34:12.858+00:00
18,15,complete,2004-01-02T12:51:23.478+00:00
18,12,complete,2004-01-02T12:51:23.478+00:00
19,11,complete,2004-01-01T19:00:00.000+00:00
19,6,complete,2004-01-01T19:27:05.818+00:00
19,1,complete,2004-01-01T19:44:35.821+00:00
19,7,complete,2004-01-02T13:17:33.023+00:00
19,4,complete,2004-01-02T14:16:46.033+00:00
19,3,complete,2004-01-02T14:51:34.242+00:00
19,13,complete,2004-01-02T15:31:14.321+00:00
19,8,complete,2004-01-02T15:33:00.746+00:00
19,17,complete,2004-01-02T16:56:59.866+00:00
19,19,complete,2004-01-02T19:13:25.018+00:00
19,5,complete,2004-01-02T19:56:58.495+00:00
19,10,complete,2004-01-02T19:56:58.495+00:00
