CaseID,Phase,SourceRegime,SourceTraceIndex
0,1,base,2427
1,1,base,383
2,1,base,1957
3,1,base,1696
4,1,base,944
5,1,base,866
6,1,base,2374
7,1,base,1775
8,1,base,1151
9,1,base,338
10,1,base,54
11,1,base,88
12,1,base,1167
13,1,base,571
14,1,base,1222
15,1,base,763
16,1,base,1122
17,1,base,716
18,1,base,2258
19,1,base,548
20,1,base,1787
21,1,base,593
22,1,base,2384
23,1,base,1710
24,1,base,226
25,1,base,1916
26,1,base,2492
27,1,base,1910
28,1,base,406
29,1,base,324
30,1,base,2381
31,1,base,34
32,1,base,1018
33,1,base,1520
34,1,base,629
35,1,base,207
36,1,base,370
37,1,base,218
38,1,base,935
39,1,base,2290
40,1,base,1368
41,1,base,2393
42,1,base,492
43,1,base,970
44,1,base,1233
45,1,base,2319
46,1,base,1154
47,1,base,2177
48,1,base,1000
49,1,base,2026
50,1,base,893
51,1,base,1781
52,1,base,1295
53,1,base,948
54,1,base,741
55,1,base,1111
56,1,base,1492
57,1,base,1038
58,1,base,910
59,1,base,2187
60,1,base,1213
61,1,base,2487
62,1,base,1957
63,1,base,2339
64,1,base,945
65,1,base,1438
66,1,base,1710
67,1,base,1710
68,1,base,1975
69,1,base,446
70,1,base,1904
71,1,base,1156
72,1,base,2239
73,1,base,1628
74,1,base,2172
75,1,base,1216
76,1,base,1659
77,1,base,505
78,1,base,1146
79,1,base,1876
80,1,base,1864
81,1,base,651
82,1,base,242
83,1,base,1591
84,1,base,1313
85,1,base,1970
86,1,base,2035
87,1,base,1554
88,1,base,178
89,1,base,851
90,1,base,370
91,1,base,713
92,1,base,2345
93,1,base,368
94,1,base,2013
95,1,base,2404
96,1,base,777
97,1,base,833
98,1,base,1062
99,1,base,617
100,1,base,2290
101,1,base,1669
102,1,base,1529
103,1,base,565
104,1,base,2394
105,1,base,659
106,1,base,2489
107,1,base,177
108,1,base,2453
109,1,base,2256
110,1,base,765
111,1,base,631
112,1,base,761
113,1,base,961
114,1,base,1380
115,1,base,1508
116,1,base,1521
117,1,base,626
118,1,base,2166
119,1,base,1380
120,1,base,731
121,1,base,2225
122,1,base,1061
123,1,base,119
124,1,base,96
125,1,base,1580
126,1,base,2348
127,1,base,1696
128,1,base,642
129,1,base,694
130,1,base,1799
131,1,base,1540
132,1,base,124
133,1,base,1778
134,1,base,517
135,1,base,2249
136,1,base,2438
137,1,base,2466
138,1,base,2390
139,1,base,375
140,1,base,2117
141,1,base,1773
142,1,base,949
143,1,base,677
144,1,base,2459
145,1,base,1473
146,1,base,1940
147,1,base,404
148,1,base,2084
149,1,base,1905
150,1,base,924
151,1,base,318
152,1,base,2372
153,1,base,1189
154,1,base,1530
155,1,base,1334
156,1,base,2132
157,1,base,743
158,1,base,2245
159,1,base,470
160,1,base,418
161,1,base,1876
162,1,base,423
163,1,base,1513
164,1,base,1423
165,1,base,89
166,1,base,2432
167,1,base,2158
168,1,base,2436
169,1,base,1717
170,1,base,2227
171,1,base,2338
172,1,base,394
173,1,base,1532
174,1,base,874
175,1,base,21
176,1,base,636
177,1,base,2083
178,1,base,962
179,1,base,1365
180,1,base,1142
181,1,base,6
182,1,base,2404
183,1,base,1233
184,1,base,2024
185,1,base,1463
186,1,base,1543
187,1,base,589
188,1,base,2313
189,1,base,1990
190,1,base,464
191,1,base,2372
192,1,base,2043
193,1,base,1301
194,1,base,1876
195,1,base,2319
196,1,base,2447
197,1,base,1720
198,1,base,2204
199,1,base,894
200,1,base,2042
201,1,base,1606
202,1,base,2017
203,1,base,1045
204,1,base,1654
205,1,base,494
206,1,base,895
207,1,base,1097
208,1,base,857
209,1,base,801
210,1,base,2297
211,1,base,889
212,1,base,2163
213,1,base,216
214,1,base,1845
215,1,base,2240
216,1,base,862
217,1,base,1224
218,1,base,2070
219,1,base,2451
220,1,base,1408
221,1,base,2349
222,1,base,2064
223,1,base,1291
224,1,base,1512
225,1,base,2488
226,1,base,1669
227,1,base,367
228,1,base,320
229,1,base,1079
230,1,base,769
231,1,base,802
232,1,base,34
233,1,base,1007
234,1,base,286
235,1,base,1780
236,1,base,247
237,1,base,2306
238,1,base,2149
239,1,base,1786
240,1,base,934
241,1,base,2446
242,1,base,41
243,1,base,1214
244,1,base,1118
245,1,base,1421
246,1,base,2252
247,1,base,714
248,1,base,1101
249,1,base,106
250,1,base,840
251,1,base,2372
252,1,base,1376
253,1,base,1313
254,1,base,1780
255,1,base,0
256,1,base,1012
257,1,base,1612
258,1,base,470
259,1,base,219
260,1,base,1108
261,1,base,1141
262,1,base,1259
263,1,base,1286
264,1,base,1822
265,1,base,725
266,1,base,1603
267,1,base,754
268,1,base,1680
269,1,base,1492
270,1,base,1856
271,1,base,1814
272,1,base,1460
273,1,base,1521
274,1,base,1767
275,1,base,779
276,1,base,872
277,1,base,229
278,1,base,2454
279,1,base,944
280,1,base,2480
281,1,base,508
282,1,base,667
283,1,base,2286
284,1,base,888
285,1,base,2471
286,1,base,1348
287,1,base,1639
288,1,base,1520
289,1,base,590
290,1,base,1677
291,1,base,903
292,1,base,947
293,1,base,120
294,1,base,126
295,1,base,2089
296,1,base,1469
297,1,base,1296
298,1,base,503
299,1,base,2190
300,1,base,2067
301,1,base,945
302,1,base,602
303,1,base,2462
304,1,base,922
305,1,base,2195
306,1,base,1725
307,1,base,2290
308,1,base,1574
309,1,base,724
310,1,base,612
311,1,base,1888
312,1,base,1435
313,1,base,816
314,1,base,2294
315,1,base,1488
316,1,base,81
317,1,base,488
318,1,base,2292
319,1,base,349
320,1,base,1304
321,1,base,76
322,1,base,2405
323,1,base,657
324,1,base,1898
325,1,base,1974
326,1,base,635
327,1,base,1553
328,1,base,1202
329,1,base,1578
330,1,base,559
331,1,base,752
332,1,base,2040
333,1,base,255
334,1,base,611
335,1,base,2060
336,1,base,249
337,1,base,28
338,1,base,1710
339,1,base,1487
340,1,base,561
341,1,base,1516
342,1,base,2228
343,1,base,1850
344,1,base,706
345,1,base,1279
346,1,base,354
347,1,base,2095
348,1,base,2022
349,1,base,1121
350,1,base,719
351,1,base,1610
352,1,base,68
353,1,base,552
354,1,base,2183
355,1,base,1414
356,1,base,1206
357,1,base,2337
358,1,base,2313
359,1,base,1395
360,1,base,1252
361,1,base,1081
362,1,base,1821
363,1,base,1991
364,1,base,1487
365,1,base,2263
366,1,base,1830
367,1,base,1927
368,1,base,741
369,1,base,752
370,1,base,1292
371,1,base,398
372,1,base,1042
373,1,base,1514
374,1,base,1388
375,1,base,1925
376,1,base,2364
377,1,base,142
378,1,base,1787
379,1,base,1363
380,1,base,1444
381,1,base,114
382,1,base,2357
383,1,base,891
384,1,base,1384
385,1,base,1104
386,1,base,498
387,1,base,1513
388,1,base,2037
389,1,base,336
390,1,base,914
391,1,base,1973
392,1,base,29
393,1,base,2452
394,1,base,1212
395,1,base,62
396,1,base,1959
397,1,base,348
398,1,base,422
399,1,base,1417
400,1,base,1821
401,1,base,195
402,1,base,869
403,1,base,1467
404,1,base,504
405,1,base,1662
406,1,base,1325
407,1,base,355
408,1,base,131
409,1,base,221
410,1,base,956
411,1,base,1579
412,1,base,406
413,1,base,2131
414,1,base,177
415,1,base,80
416,1,base,1349
417,1,base,2348
418,1,base,260
419,1,base,146
420,1,base,1788
421,1,base,1747
422,1,base,1916
423,1,base,1013
424,1,base,222
425,1,base,1975
426,1,base,1457
427,1,base,1475
428,1,base,1233
429,1,base,46
430,1,base,2005
431,1,base,265
432,1,base,661
433,1,base,467
434,1,base,216
435,1,base,1213
436,1,base,854
437,1,base,1223
438,1,base,2185
439,1,base,2300
440,1,base,1572
441,1,base,554
442,1,base,2280
443,1,base,880
444,1,base,2187
445,1,base,963
446,1,base,426
447,1,base,2276
448,1,base,1725
449,1,base,2
450,1,base,60
451,1,base,411
452,1,base,1041
453,1,base,210
454,1,base,774
455,1,base,1431
456,1,base,2356
457,1,base,1541
458,1,base,856
459,1,base,2160
460,1,base,1478
461,1,base,304
462,1,base,656
463,1,base,526
464,1,base,1815
465,1,base,1766
466,1,base,1083
467,1,base,1439
468,1,base,609
469,1,base,1736
470,1,base,938
471,1,base,2467
472,1,base,924
473,1,base,920
474,1,base,1073
475,1,base,303
476,1,base,1220
477,1,base,1451
478,1,base,618
479,1,base,1394
480,1,base,2297
481,1,base,1876
482,1,base,951
483,1,base,90
484,1,base,7
485,1,base,1414
486,1,base,2358
487,1,base,305
488,1,base,228
489,1,base,1393
490,1,base,2262
491,1,base,2184
492,1,base,2130
493,1,base,2415
494,1,base,2093
495,1,base,202
496,1,base,1457
497,1,base,404
498,1,base,968
499,1,base,877
500,1,base,1073
501,1,base,525
502,1,base,170
503,1,base,1502
504,1,base,87
505,1,base,2302
506,1,base,2258
507,1,base,849
508,1,base,1112
509,1,base,1622
510,1,base,1698
511,1,base,2446
512,1,base,345
513,1,base,1654
514,1,base,1065
515,1,base,1810
516,1,base,97
517,1,base,2184
518,1,base,2477
519,1,base,906
520,1,base,500
521,1,base,1225
522,1,base,1583
523,1,base,2451
524,1,base,41
525,1,base,2086
526,1,base,272
527,1,base,352
528,1,base,437
529,1,base,55
530,1,base,2255
531,1,base,31
532,1,base,1427
533,1,base,1632
534,1,base,50
535,1,base,1167
536,1,base,1116
537,1,base,475
538,1,base,90
539,1,base,220
540,1,base,1492
541,1,base,1463
542,1,base,253
543,1,base,480
544,1,base,1527
545,1,base,1535
546,1,base,748
547,1,base,607
548,1,base,1985
549,1,base,555
550,1,base,1685
551,1,base,1935
552,1,base,838
553,1,base,1541
554,1,base,1950
555,1,base,704
556,1,base,1384
557,1,base,346
558,1,base,2268
559,1,base,1789
560,1,base,735
561,1,base,300
562,1,base,1963
563,1,base,188
564,1,base,595
565,1,base,966
566,1,base,459
567,1,base,1750
568,1,base,1204
569,1,base,1517
570,1,base,191
571,1,base,1428
572,1,base,269
573,1,base,2420
574,1,base,116
575,1,base,1820
576,1,base,131
577,1,base,906
578,1,base,1317
579,1,base,1893
580,1,base,284
581,1,base,1917
582,1,base,325
583,1,base,2429
584,1,base,2071
585,1,base,1856
586,1,base,1693
587,1,base,87
588,1,base,697
589,1,base,1692
590,1,base,118
591,1,base,858
592,1,base,2234
593,1,base,2457
594,1,base,1077
595,1,base,1178
596,1,base,1450
597,1,base,1821
598,1,base,728
599,1,base,147
600,1,base,2337
601,1,base,2386
602,1,base,522
603,1,base,1738
604,1,base,17
605,1,base,1032
606,1,base,1236
607,1,base,1460
608,1,base,323
609,1,base,931
610,1,base,801
611,1,base,1432
612,1,base,41
613,1,base,2054
614,1,base,2221
615,1,base,1644
616,1,base,2425
617,1,base,2479
618,1,base,1465
619,1,base,1765
620,1,base,2396
621,1,base,2384
622,1,base,2012
623,1,base,2066
624,1,base,1047
625,1,base,836
626,1,base,886
627,1,base,1012
628,1,base,2033
629,1,base,1999
630,1,base,1596
631,1,base,1949
632,1,base,1395
633,1,base,1450
634,1,base,551
635,1,base,2164
636,1,base,225
637,1,base,1588
638,1,base,2358
639,1,base,866
640,1,base,2053
641,1,base,889
642,1,base,170
643,1,base,2174
644,1,base,1827
645,1,base,2205
646,1,base,643
647,1,base,1257
648,1,base,2443
649,1,base,1212
650,1,base,1238
651,1,base,557
652,1,base,409
653,1,base,1302
654,1,base,1716
655,1,base,1956
656,1,base,1856
657,1,base,2027
658,1,base,662
659,1,base,1516
660,1,base,1652
661,1,base,573
662,1,base,189
663,1,base,1280
664,1,base,438
665,1,base,1110
666,1,base,1795
667,1,base,2346
668,1,base,1771
669,1,base,2178
670,1,base,2379
671,1,base,1165
672,1,base,576
673,1,base,23
674,1,base,1632
675,1,base,1015
676,1,base,142
677,1,base,2269
678,1,base,180
679,1,base,2194
680,1,base,890
681,1,base,1096
682,1,base,411
683,1,base,2367
684,1,base,1420
685,1,base,1383
686,1,base,1269
687,1,base,152
688,1,base,768
689,1,base,1509
690,1,base,1171
691,1,base,1173
692,1,base,1759
693,1,base,1111
694,1,base,328
695,1,base,1948
696,1,base,1250
697,1,base,1225
698,1,base,1526
699,1,base,1020
700,1,base,2420
701,1,base,347
702,1,base,963
703,1,base,2447
704,1,base,989
705,1,base,2059
706,1,base,2231
707,1,base,119
708,1,base,762
709,1,base,279
710,1,base,2249
711,1,base,233
712,1,base,1102
713,1,base,1055
714,1,base,1859
715,1,base,2469
716,1,base,489
717,1,base,2305
718,1,base,1509
719,1,base,746
720,1,base,1506
721,1,base,1502
722,1,base,1260
723,1,base,2414
724,1,base,2026
725,1,base,398
726,1,base,1708
727,1,base,1630
728,1,base,1089
729,1,base,1650
730,1,base,1011
731,1,base,1143
732,1,base,1870
733,1,base,416
734,1,base,835
735,1,base,2036
736,1,base,29
737,1,base,687
738,1,base,1820
739,1,base,2296
740,1,base,1983
741,1,base,1645
742,1,base,1072
743,1,base,60
744,1,base,134
745,1,base,130
746,1,base,1086
747,1,base,1080
748,1,base,1155
749,1,base,1435
750,1,base,280
751,1,base,324
752,1,base,1601
753,1,base,2137
754,1,base,2275
755,1,base,2406
756,1,base,2307
757,1,base,1940
758,1,base,1997
759,1,base,2144
760,1,base,2449
761,1,base,963
762,1,base,1635
763,1,base,2460
764,1,base,658
765,1,base,278
766,1,base,1457
767,1,base,373
768,1,base,41
769,1,base,2234
770,1,base,1924
771,1,base,2299
772,1,base,2037
773,1,base,2301
774,1,base,1679
775,1,base,230
776,1,base,656
777,1,base,80
778,1,base,861
779,1,base,1419
780,1,base,1503
781,1,base,388
782,1,base,1031
783,1,base,510
784,1,base,1893
785,1,base,2492
786,1,base,146
787,1,base,114
788,1,base,1206
789,1,base,1976
790,1,base,502
791,1,base,502
792,1,base,594
793,1,base,937
794,1,base,187
795,1,base,1598
796,1,base,87
797,1,base,25
798,1,base,58
799,1,base,60
800,1,base,69
801,1,base,324
802,1,base,686
803,1,base,595
804,1,base,1858
805,1,base,110
806,1,base,1679
807,1,base,2283
808,1,base,1986
809,1,base,1473
810,1,base,769
811,1,base,1978
812,1,base,511
813,1,base,290
814,1,base,114
815,1,base,1028
816,1,base,234
817,1,base,45
818,1,base,2386
819,1,base,1636
820,1,base,161
821,1,base,71
822,1,base,2126
823,1,base,818
824,1,base,391
825,1,base,2481
826,1,base,471
827,1,base,1546
828,1,base,2233
829,1,base,3
830,1,base,379
831,1,base,894
832,1,base,1450
833,1,base,358
834,1,base,293
835,1,base,1439
836,1,base,834
837,1,base,140
838,1,base,411
839,1,base,2181
840,1,base,2384
841,1,base,258
842,1,base,46
843,1,base,1644
844,1,base,424
845,1,base,475
846,1,base,1723
847,1,base,2336
848,1,base,23
849,1,base,585
850,1,base,67
851,1,base,2235
852,1,base,2462
853,1,base,2139
854,1,base,1773
855,1,base,568
856,1,base,495
857,1,base,1248
858,1,base,426
859,1,base,726
860,1,base,2256
861,1,base,1009
862,1,base,930
863,1,base,369
864,1,base,973
865,1,base,1067
866,1,base,917
867,1,base,766
868,1,base,769
869,1,base,439
870,1,base,75
871,1,base,9
872,1,base,648
873,1,base,2040
874,1,base,2136
875,1,base,1251
876,1,base,988
877,1,base,614
878,1,base,1572
879,1,base,1832
880,1,base,1607
881,1,base,1586
882,1,base,1686
883,1,base,1959
884,1,base,1360
885,1,base,870
886,1,base,1543
887,1,base,1408
888,1,base,2109
889,1,base,390
890,1,base,743
891,1,base,2034
892,1,base,2493
893,1,base,2100
894,1,base,2058
895,1,base,2207
896,1,base,1420
897,1,base,2303
898,1,base,254
899,1,base,1685
900,1,base,1116
901,1,base,1521
902,1,base,1688
903,1,base,619
904,1,base,506
905,1,base,1062
906,1,base,325
907,1,base,1440
908,1,base,1173
909,1,base,172
910,1,base,437
911,1,base,538
912,1,base,1462
913,1,base,1552
914,1,base,1948
915,1,base,546
916,1,base,1675
917,1,base,2158
918,1,base,2257
919,1,base,663
920,1,base,1735
921,1,base,488
922,1,base,2159
923,1,base,73
924,1,base,1233
925,1,base,2403
926,1,base,1213
927,1,base,1052
928,1,base,2227
929,1,base,2211
930,1,base,2020
931,1,base,1522
932,1,base,1782
933,1,base,2346
934,1,base,801
935,1,base,575
936,1,base,1238
937,1,base,1198
938,1,base,795
939,1,base,2025
940,1,base,390
941,1,base,1598
942,1,base,1795
943,1,base,1065
944,1,base,2012
945,1,base,1753
