CaseID,Activity,Type,Timestamp
0,11,complete,2004-01-01T00:00:00.000+00:00
0,6,complete,2004-01-01T01:29:57.475+00:00
0,16,complete,2004-01-01T01:48:43.055+00:00
0,14,complete,2004-01-01T01:52:22.521+00:00
0,6,complete,2004-01-01T02:23:09.833+00:00
0,7,complete,2004-01-01T18:30:18.043+00:00
0,1,complete,2004-01-01T18:42:32.977+00:00
0,4,complete,2004-01-01T18:53:27.939+00:00
0,3,complete,2004-01-01T19:03:57.552+00:00
0,15,complete,2004-01-01T19:21:29.026+00:00
0,12,complete,2004-01-01T19:21:29.026+00:00
1,11,complete,2004-01-01T01:00:00.000+00:00
1,6,complete,2004-01-01T19:24:40.201+00:00
1,16,complete,2004-01-01T20:52:09.753+00:00
1,14,complete,2004-01-01T21:06:15.075+00:00
1,6,complete,2004-01-01T21:19:08.055+00:00
1,16,complete,2004-01-01T21:20:39.070+00:00
1,14,complete,2004-01-01T21:23:05.573+00:00
1,6,complete,2004-01-01T23:00:19.704+00:00
1,1,complete,2004-01-01T23:29:52.726+00:00
1,7,complete,2004-01-02T00:09:01.255+00:00
1,4,complete,2004-01-02T00:13:04.124+00:00
1,3,complete,2004-01-02T01:18:14.760+00:00
1,15,complete,2004-01-02T01:18:24.036+00:00
1,12,complete,2004-01-02T01:18:24.036+00:00
2,11,complete,2004-01-01T02:00:00.000+00:00
2,6,complete,2004-01-01T02:21:58.549+00:00
2,7,complete,2004-01-01T02:27:02.189+00:00
2,4,complete,2004-01-01T02:38:10.476+00:00
2,1,complete,2004-01-01T02:40:31.435+00:00
2,3,complete,2004-01-01T03:14:42.968+00:00
2,13,complete,2004-01-01T03:48:50.730+00:00
2,8,complete,2004-01-01T04:08:23.741+00:00
2,18,complete,2004-01-01T04:10:16.301+00:00
2,19,complete,2004-01-01T04:50:49.109+00:00
2,2,complete,2004-01-01T05:13:41.121+00:00
2,9,complete,2004-01-01T05:13:41.121+00:00
3,11,complete,2004-01-01T03:00:00.000+00:00
3,6,complete,2004-01-01T03:09:08.466+00:00
3,1,complete,2004-01-01T03:15:36.328+00:00
3,7,complete,2004-01-01T03:20:45.005+00:00
3,4,complete,2004-01-01T03:38:57.831+00:00
3,3,complete,2004-01-01T05:43:49.578+00:00
3,13,complete,2004-01-01T06:09:32.289+00:00
3,8,complete,2004-01-01T06:27:46.728+00:00
3,17,complete,2004-01-01T07:42:29.070+00:00
3,19,complete,2004-01-01T08:40:30.203+00:00
3,2,complete,2004-01-02T01:19:55.754+00:00
3,9,complete,2004-01-02T01:19:55.754+00:00
4,11,complete,2004-01-01T04:00:00.000+00:00
4,6,complete,2004-01-01T04:04:57.502+00:00
4,1,complete,2004-01-01T04:04:58.828+00:00
4,7,complete,2004-01-01T04:23:50.414+00:00
4,4,complete,2004-01-01T04:24:04.733+00:00
4,3,complete,2004-01-01T05:27:29.480+00:00
4,15,complete,2004-01-01T05:31:37.506+00:00
4,12,complete,2004-01-01T05:31:37.506+00:00
5,11,complete,2004-01-01T05:00:00.000+00:00
5,6,complete,2004-01-01T05:01:13.328+00:00
5,7,complete,2004-01-01T05:05:22.883+00:00
5,1,complete,2004-01-01T05:19:19.989+00:00
5,4,complete,2004-01-01T05:55:19.668+00:00
5,3,complete,2004-01-01T22:45:27.995+00:00
5,15,complete,2004-01-01T22:47:44.649+00:00
5,12,complete,2004-01-01T22:47:44.649+00:00
6,11,complete,2004-01-01T06:00:00.000+00:00
6,6,complete,2004-01-01T07:13:00.903+00:00
