CaseID,Phase,SourceRegime,SourceTraceIndex
0,1,base,2499
1,1,base,80
2,1,base,19
3,1,base,1949
4,1,base,2099
5,1,base,1696
6,1,base,1100
7,1,base,1649
8,1,base,1785
9,1,base,1026
10,1,base,2174
11,1,base,1971
12,1,base,1698
13,1,base,1706
14,1,base,1711
15,1,base,2280
16,1,base,2421
17,1,base,2155
18,1,base,586
19,1,base,716
20,1,base,510
21,1,base,244
22,1,base,128
23,1,base,653
24,1,base,2093
25,1,base,1094
26,1,base,349
27,1,base,751
28,1,base,115
29,1,base,500
30,1,base,905
31,1,base,1998
32,1,base,2124
33,1,base,764
34,1,base,199
35,1,base,1536
36,1,base,2061
37,1,base,388
38,1,base,31
39,1,base,771
40,1,base,2496
41,1,base,1068
42,1,base,1870
43,1,base,1764
44,1,base,543
45,1,base,2207
46,1,base,226
47,1,base,149
48,1,base,92
49,1,base,198
50,1,base,994
51,1,base,1401
52,1,base,1493
53,1,base,563
54,1,base,87
55,1,base,1662
56,1,base,1755
57,1,base,1042
58,1,base,1611
59,1,base,1660
60,1,base,79
61,1,base,333
62,1,base,775
63,1,base,2438
64,1,base,1153
65,1,base,2301
66,1,base,860
67,1,base,36
68,1,base,313
69,1,base,651
70,1,base,1368
71,1,base,1579
72,1,base,1305
73,1,base,1054
74,1,base,302
75,1,base,2328
76,1,base,68
77,1,base,1649
78,1,base,1330
79,1,base,725
80,1,base,2349
81,1,base,1636
82,1,base,989
83,1,base,820
84,1,base,1245
85,1,base,2003
86,1,base,1026
87,1,base,1311
88,1,base,526
89,1,base,1272
90,1,base,1334
91,1,base,837
92,1,base,2281
93,1,base,443
94,1,base,2142
95,1,base,1762
96,1,base,397
97,1,base,2409
98,1,base,670
99,1,base,492
100,1,base,1846
101,1,base,1917
102,1,base,2122
103,1,base,519
104,1,base,2494
105,1,base,1025
106,1,base,1740
107,1,base,1036
108,1,base,198
109,1,base,1253
110,1,base,757
111,1,base,982
112,1,base,1911
113,1,base,2349
114,1,base,824
115,1,base,1544
116,1,base,1262
117,1,base,652
118,1,base,137
119,1,base,835
120,1,base,2112
121,1,base,575
122,1,base,686
123,1,base,1459
124,1,base,1435
125,1,base,454
126,1,base,1216
127,1,base,2349
128,1,base,2044
129,1,base,1040
130,1,base,416
131,1,base,591
132,1,base,714
133,1,base,840
134,1,base,2166
135,1,base,1716
136,1,base,850
137,1,base,1386
138,1,base,1454
139,1,base,2437
140,1,base,1298
141,1,base,683
142,1,base,2247
143,1,base,86
144,1,base,1132
145,1,base,1227
146,1,base,401
147,1,base,2126
148,1,base,1072
149,1,base,2024
150,1,base,2405
151,1,base,1494
152,1,base,1994
153,1,base,2172
154,1,base,1823
155,1,base,297
156,1,base,1273
157,1,base,1884
158,1,base,2289
159,1,base,1026
160,1,base,846
161,1,base,1882
162,1,base,2016
163,1,base,2252
164,1,base,1459
165,1,base,304
166,1,base,394
167,1,base,906
168,1,base,1869
169,1,base,998
170,1,base,2118
171,1,base,49
172,1,base,451
173,1,base,2163
174,1,base,2256
175,1,base,1011
176,1,base,1260
177,1,base,299
178,1,base,587
179,1,base,1111
180,1,base,2409
181,1,base,1864
182,1,base,879
183,1,base,2182
184,1,base,1771
185,1,base,235
186,1,base,1284
187,1,base,1925
188,1,base,233
189,1,base,1680
190,1,base,2357
191,1,base,967
192,1,base,31
193,1,base,1935
194,1,base,241
195,1,base,2105
196,1,base,182
197,1,base,1282
198,1,base,547
199,1,base,1939
200,1,base,2144
201,1,base,2264
202,1,base,148
203,1,base,1942
204,1,base,705
205,1,base,678
206,1,base,1919
207,1,base,705
208,1,base,1524
209,1,base,1669
210,1,base,95
211,1,base,776
212,1,base,1302
213,1,base,1146
214,1,base,1674
215,1,base,79
216,1,base,861
217,1,base,827
218,1,base,611
219,1,base,731
220,1,base,1383
221,1,base,1260
222,1,base,1042
223,1,base,80
224,1,base,317
225,1,base,834
226,1,base,2138
227,1,base,2068
228,1,base,1332
229,1,base,1338
230,1,base,1841
231,1,base,1327
232,1,base,300
233,1,base,1413
234,1,base,1978
235,1,base,1789
236,1,base,1781
237,1,base,1218
238,1,base,842
239,1,base,601
240,1,base,2412
241,1,base,1566
242,1,base,1
243,1,base,1304
244,1,base,2008
245,1,base,1801
246,1,base,188
247,1,base,2412
248,1,base,2016
249,1,base,2325
250,1,base,2339
251,1,base,687
252,1,base,1314
253,1,base,1424
254,1,base,311
255,1,base,1885
256,1,base,1937
257,1,base,362
258,1,base,2425
259,1,base,2185
260,1,base,2234
261,1,base,1333
262,1,base,1071
263,1,base,854
264,1,base,177
265,1,base,685
266,1,base,1756
267,1,base,969
268,1,base,1649
269,1,base,723
270,1,base,2167
271,1,base,1967
272,1,base,582
273,1,base,822
274,1,base,1688
275,1,base,2189
276,1,base,1565
277,1,base,105
278,1,base,1626
279,1,base,1777
280,1,base,304
281,1,base,2248
282,1,base,76
283,1,base,712
284,1,base,2300
