CaseID,Activity,Type,Timestamp
0,11,complete,2004-01-01T00:00:00.000+00:00
0,6,complete,2004-01-01T00:28:13.854+00:00
0,1,complete,2004-01-01T00:42:45.376+00:00
0,7,complete,2004-01-01T00:54:57.957+00:00
0,4,complete,2004-01-01T01:00:42.521+00:00
0,3,complete,2004-01-01T01:00:49.737+00:00
0,15,complete,2004-01-01T01:05:45.833+00:00
0,12,complete,2004-01-01T01:05:45.833+00:00
1,11,complete,2004-01-01T01:00:00.000+00:00
1,6,complete,2004-01-03T17:17:14.201+00:00
1,7,complete,2004-01-03T17:47:01.930+00:00
1,4,complete,2004-01-03T18:08:58.804+00:00
1,1,complete,2004-01-03T19:02:31.702+00:00
1,3,complete,2004-01-03T19:19:55.857+00:00
1,15,complete,2004-01-03T19:25:51.615+00:00
1,12,complete,2004-01-03T19:25:51.615+00:00
2,11,complete,2004-01-01T02:00:00.000+00:00
2,6,complete,2004-01-01T02:03:46.124+00:00
2,1,complete,2004-01-01T02:05:01.063+00:00
2,7,complete,2004-01-01T02:42:31.625+00:00
2,4,complete,2004-01-01T02:53:07.278+00:00
2,3,complete,2004-01-01T03:15:57.140+00:00
2,13,complete,2004-01-01T03:49:11.931+00:00
2,8,complete,2004-01-01T04:14:32.567+00:00
2,17,complete,2004-01-01T04:38:29.148+00:00
2,19,complete,2004-01-01T04:42:01.998+00:00
2,5,complete,2004-01-01T04:52:32.868+00:00
2,10,complete,2004-01-01T04:52:32.868+00:00
3,11,complete,2004-01-01T03:00:00.000+00:00
3,6,complete,2004-01-01T03:44:51.096+00:00
3,1,complete,2004-01-01T03:45:23.858+00:00
3,7,complete,2004-01-01T03:53:02.142+00:00
3,4,complete,2004-01-01T04:14:09.245+00:00
3,3,complete,2004-01-01T04:27:49.394+00:00
3,15,complete,2004-01-01T04:34:57.689+00:00
3,12,complete,2004-01-01T04:34:57.689+00:00
4,11,complete,2004-01-01T04:00:00.000+00:00
4,6,complete,2004-01-01T06:14:01.483+00:00
4,7,complete,2004-01-01T06:23:27.283+00:00
4,1,complete,2004-01-01T06:36:43.105+00:00
4,4,complete,2004-01-01T06:41:25.199+00:00
4,3,complete,2004-01-01T06:55:15.867+00:00
4,13,complete,2004-01-01T06:59:07.433+00:00
4,8,complete,2004-01-01T08:18:24.364+00:00
4,17,complete,2004-01-01T09:44:51.674+00:00
4,19,complete,2004-01-01T10:04:01.575+00:00
4,2,complete,2004-01-01T10:15:51.232+00:00
4,9,complete,2004-01-01T10:15:51.232+00:00
5,11,complete,2004-01-01T05:00:00.000+00:00
5,6,complete,2004-01-01T05:09:08.466+00:00
5,1,complete,2004-01-01T05:15:36.328+00:00
5,7,complete,2004-01-01T05:20:45.005+00:00
5,4,complete,2004-01-01T05:38:57.831+00:00
5,3,complete,2004-01-01T07:43:49.578+00:00
5,13,complete,2004-01-01T08:09:32.289+00:00
5,8,complete,2004-01-01T08:27:46.728+00:00
5,17,complete,2004-01-01T09:42:29.070+00:00
5,19,complete,2004-01-01T10:40:30.203+00:00
5,2,complete,2004-01-02T03:19:55.754+00:00
5,9,complete,2004-01-02T03:19:55.754+00:00
6,11,complete,2004-01-01T06:00:00.000+00:00
6,6,complete,2004-01-01T06:48:49.137+00:00
6,1,complete,2004-01-01T07:20:12.441+00:00
6,7,complete,2004-01-01T07:51:10.003+00:00
6,4,complete,2004-01-01T08:19:18.314+00:00
6,3,complete,2004-01-01T08:36:35.653+00:00
6,15,complete,2004-01-01T08:36:59.628+00:00
6,12,complete,2004-01-01T08:36:59.628+00:00
7,11,complete,2004-01-01T07:00:00.000+00:00
7,6,complete,2004-01-01T08:06:57.561+00:00
7,1,complete,2004-01-01T08:47:48.448+00:00
7,7,complete,2004-01-01T09:37:03.958+00:00
7,4,complete,2004-01-01T09:37:45.877+00:00
7,3,complete,2004-01-01T10:49:17.543+00:00
7,15,complete,2004-01-01T10:57:00.071+00:00
7,12,complete,2004-01-01T10:57:00.071+00:00
8,11,complete,2004-01-01T08:00:00.000+00:00
8,6,complete,2004-01-01T08:31:58.002+00:00
8,7,complete,2004-01-01T08:39:23.261+00:00
8,1,complete,2004-01-01T08:40:36.396+00:00
8,4,complete,2004-01-02T01:59:43.787+00:00
8,3,complete,2004-01-02T02:16:08.597+00:00
8,15,complete,2004-01-02T02:52:22.826+00:00
8,12,complete,2004-01-02T02:52:22.826+00:00
9,11,complete,2004-01-01T09:00:00.000+00:00
9,6,complete,2004-01-01T09:09:07.228+00:00
9,1,complete,2004-01-01T09:21:04.343+00:00
9,7,complete,2004-01-01T10:06:06.561+00:00
9,4,complete,2004-01-01T10:30:13.495+00:00
9,3,complete,2004-01-01T11:17:50.084+00:00
9,15,complete,2004-01-02T04:40:13.443+00:00
9,12,complete,2004-01-02T04:40:13.443+00:00
10,11,complete,2004-01-01T10:00:00.000+00:00
10,6,complete,2004-01-01T10:19:43.774+00:00
10,1,complete,2004-01-01T10:20:25.653+00:00
10,7,complete,2004-01-01T10:33:34.650+00:00
10,4,complete,2004-01-02T03:04:43.216+00:00
10,3,complete,2004-01-02T03:25:49.788+00:00
10,15,complete,2004-01-02T04:30:08.923+00:00
10,12,complete,2004-01-02T04:30:08.923+00:00
11,11,complete,2004-01-01T11:00:00.000+00:00
11,6,complete,2004-01-01T11:02:59.233+00:00
11,1,complete,2004-01-01T12:14:25.920+00:00
11,7,complete,2004-01-01T13:23:07.504+00:00
11,4,complete,2004-01-01T14:03:53.368+00:00
11,3,complete,2004-01-01T14:56:38.739+00:00
11,13,complete,2004-01-01T15:11:16.722+00:00
11,8,complete,2004-01-01T15:15:18.204+00:00
11,18,complete,2004-01-04T08:41:22.242+00:00
11,19,complete,2004-01-04T09:56:49.048+00:00
11,5,complete,2004-01-04T10:43:06.500+00:00
11,10,complete,2004-01-04T10:43:06.500+00:00
12,11,complete,2004-01-01T12:00:00.000+00:00
12,6,complete,2004-01-01T12:34:53.785+00:00
12,1,complete,2004-01-01T12:42:17.766+00:00
12,7,complete,2004-01-01T12:47:43.514+00:00
12,4,complete,2004-01-01T13:34:05.588+00:00
12,3,complete,2004-01-01T14:31:11.293+00:00
12,15,complete,2004-01-01T15:05:10.663+00:00
12,12,complete,2004-01-01T15:05:10.663+00:00
13,11,complete,2004-01-01T13:00:00.000+00:00
13,6,complete,2004-01-01T13:18:41.595+00:00
13,16,complete,2004-01-01T13:48:25.741+00:00
13,14,complete,2004-01-01T13:59:49.172+00:00
13,6,complete,2004-01-02T06:06:01.287+00:00
13,1,complete,2004-01-02T06:11:33.515+00:00
13,7,complete,2004-01-02T06:16:36.168+00:00
13,4,complete,2004-01-02T06:34:13.320+00:00
13,3,complete,2004-01-02T06:37:11.312+00:00
13,13,complete,2004-01-02T06:37:47.011+00:00
13,8,complete,2004-01-02T06:41:49.695+00:00
13,17,complete,2004-01-02T07:26:46.837+00:00
13,19,complete,2004-01-02T07:32:25.361+00:00
13,5,complete,2004-01-02T08:02:47.449+00:00
13,10,complete,2004-01-02T08:02:47.449+00:00
14,11,complete,2004-01-01T14:00:00.000+00:00
14,6,complete,2004-01-01T14:11:49.423+00:00
14,7,complete,2004-01-01T14:23:43.746+00:00
14,1,complete,2004-01-01T14:29:02.859+00:00
14,4,complete,2004-01-01T14:49:59.866+00:00
14,3,complete,2004-01-01T15:03:15.325+00:00
14,15,complete,2004-01-01T16:18:13.330+00:00
14,12,complete,2004-01-01T16:18:13.330+00:00
15,11,complete,2004-01-01T15:00:00.000+00:00
15,6,complete,2004-01-01T15:35:55.966+00:00
15,1,complete,2004-01-01T16:10:20.239+00:00
15,7,complete,2004-01-01T17:41:04.081+00:00
15,4,complete,2004-01-01T18:05:51.592+00:00
15,3,complete,2004-01-01T18:32:36.513+00:00
15,13,complete,2004-01-04T11:04:22.223+00:00
15,8,complete,2004-01-04T11:08:18.804+00:00
15,18,complete,2004-01-04T11:16:34.171+00:00
15,19,complete,2004-01-04T11:42:36.484+00:00
15,5,complete,2004-01-04T12:05:34.887+00:00
15,10,complete,2004-01-04T12:05:34.887+00:00
16,11,complete,2004-01-01T16:00:00.000+00:00
16,6,complete,2004-01-01T16:05:58.008+00:00
16,7,complete,2004-01-01T16:48:51.117+00:00
16,4,complete,2004-01-01T16:50:08.596+00:00
16,1,complete,2004-01-01T18:47:27.399+00:00
16,3,complete,2004-01-01T18:49:16.828+00:00
16,15,complete,2004-01-01T19:00:03.062+00:00
16,12,complete,2004-01-01T19:00:03.062+00:00
17,11,complete,2004-01-01T17:00:00.000+00:00
17,6,complete,2004-01-01T17:11:24.418+00:00
17,1,complete,2004-01-01T17:20:25.458+00:00
17,7,complete,2004-01-01T18:15:27.206+00:00
17,4,complete,2004-01-01T18:35:27.223+00:00
17,3,complete,2004-01-01T18:39:06.139+00:00
17,13,complete,2004-01-02T11:46:29.009+00:00
17,8,complete,2004-01-02T11:57:30.033+00:00
17,18,complete,2004-01-02T12:19:24.391+00:00
17,19,complete,2004-01-02T12:25:00.808+00:00
17,5,complete,2004-01-02T12:58:36.944+00:00
17,10,complete,2004-01-02T12:58:36.944+00:00
18,11,complete,2004-01-01T18:00:00.000+00:00
18,6,complete,2004-01-01T18:06:12.598+00:00
18,1,complete,2004-01-01T18:11:23.291+00:00
18,7,complete,2004-01-01T18:33:13.890+00:00
18,4,complete,2004-01-01T18:33:53.658+00:00
18,3,complete,2004-01-01T18:52:58.559+00:00
18,13,complete,2004-01-01T19:04:06.999+00:00
18,8,complete,2004-01-01T19:38:45.137+00:00
18,18,complete,2004-01-01T19:57:11.594+00:00
18,19,complete,2004-01-01T21:16:22.415+00:00
18,5,complete,2004-01-01T21:19:50.550+00:00
18,10,complete,2004-01-01T21:19:50.550+00:00
19,11,complete,2004-01-01T19:00:00.000+00:00
19,6,complete,2004-01-01T19:10:11.017+00:00
19,7,complete,2004-01-01T19:26:54.166+00:00
19,4,complete,2004-01-01T19:51:53.963+00:00
19,1,complete,2004-01-01T19:54:05.542+00:00
19,3,complete,2004-01-01T20:44:59.997+00:00
19,15,complete,2004-01-01T20:56:06.043+00:00
19,12,complete,2004-01-01T20:56:06.043+00:00
20,11,complete,2004-01-01T20:00:00.000+00:00
20,6,complete,2004-01-01T20:44:15.590+00:00
20,7,complete,2004-01-01T20:58:36.199+00:00
20,4,complete,2004-01-01T21:09:00.596+00:00
20,1,complete,2004-01-01T21:31:07.980+00:00
20,3,complete,2004-01-01T21:43:49.162+00:00
20,13,complete,2004-01-02T15:12:15.486+00:00
20,8,complete,2004-01-02T15:17:51.882+00:00
20,18,complete,2004-01-02T15:30:00.423+00:00
20,19,complete,2004-01-02T15:46:21.217+00:00
20,5,complete,2004-01-02T15:52:18.811+00:00
20,10,complete,2004-01-02T15:52:18.811+00:00
21,11,complete,2004-01-01T21:00:00.000+00:00
21,6,complete,2004-01-01T21:06:15.075+00:00
21,7,complete,2004-01-01T21:19:44.818+00:00
21,1,complete,2004-01-01T21:56:02.030+00:00
21,4,complete,2004-01-01T22:25:56.665+00:00
21,3,complete,2004-01-01T22:54:01.235+00:00
21,13,complete,2004-01-02T00:01:41.238+00:00
21,8,complete,2004-01-02T00:25:43.151+00:00
