CaseID,Phase,SourceRegime,SourceTraceIndex
0,1,base,1566
1,1,base,1946
2,1,base,1203
3,1,base,688
4,1,base,2238
5,1,base,916
6,1,base,1086
7,1,base,2227
8,1,base,1471
9,1,base,217
10,1,base,624
11,1,base,537
12,1,base,2358
13,1,base,2462
14,1,base,2222
15,1,base,569
16,1,base,2467
17,1,base,1105
18,1,base,1391
19,1,base,2090
20,1,base,1741
21,1,base,1704
22,1,base,680
23,1,base,2452
24,1,base,1327
25,1,base,387
26,1,base,105
27,1,base,1381
28,1,base,1612
29,1,base,1206
30,1,base,795
31,1,base,2277
32,1,base,2398
33,1,base,2099
34,1,base,1113
35,1,base,226
36,1,base,43
37,1,base,2055
38,1,base,605
39,1,base,2238
40,1,base,1765
41,1,base,1384
42,1,base,2176
43,1,base,852
44,1,base,877
45,1,base,367
46,1,base,1731
47,1,base,1651
48,1,base,1289
49,1,base,877
50,1,base,0
51,1,base,435
52,1,base,966
53,1,base,25
54,1,base,2247
55,1,base,236
56,1,base,1390
57,1,base,2497
58,1,base,411
59,1,base,2052
60,1,base,244
61,1,base,2403
62,1,base,1897
63,1,base,1381
64,1,base,94
65,1,base,2467
66,1,base,1095
67,1,base,137
68,1,base,2179
69,1,base,1742
70,1,base,532
71,1,base,1650
72,1,base,1495
73,1,base,1202
74,1,base,951
75,1,base,1851
76,1,base,126
77,1,base,944
78,1,base,839
79,1,base,478
80,1,base,774
81,1,base,528
82,1,base,1047
83,1,base,313
84,1,base,1193
85,1,base,1492
86,1,base,2232
87,1,base,516
88,1,base,2163
89,1,base,1845
90,1,base,1838
91,1,base,1573
92,1,base,2062
93,1,base,623
94,1,base,1773
95,1,base,229
96,1,base,470
97,1,base,28
98,1,base,2480
99,1,base,1199
100,1,base,663
101,1,base,372
102,1,base,2096
103,1,base,375
104,1,base,568
105,1,base,1347
106,1,base,1196
107,1,base,2135
108,1,base,2473
109,1,base,832
110,1,base,1744
111,1,base,173
112,1,base,1103
113,1,base,977
114,1,base,1895
115,1,base,1318
116,1,base,2070
117,1,base,1341
118,1,base,1109
119,1,base,1676
120,1,base,1006
121,1,base,1052
122,1,base,2407
123,1,base,1051
124,1,base,1333
125,1,base,480
126,1,base,1176
127,1,base,941
128,1,base,2364
129,1,base,2003
130,1,base,486
131,1,base,1733
132,1,base,415
133,1,base,2380
134,1,base,2105
135,1,base,1673
136,1,base,1436
137,1,base,237
138,1,base,739
139,1,base,1767
140,1,base,1137
141,1,base,817
142,1,base,1980
143,1,base,697
144,1,base,1586
145,1,base,1650
146,1,base,1053
147,1,base,1528
148,1,base,540
149,1,base,1442
150,1,base,2167
151,1,base,1938
152,1,base,598
153,1,base,921
154,1,base,318
155,1,base,1029
156,1,base,1051
157,1,base,2357
158,1,base,907
159,1,base,917
160,1,base,1530
161,1,base,96
162,1,base,706
163,1,base,1645
164,1,base,581
165,1,base,1764
166,1,base,183
167,1,base,2168
168,1,base,268
169,1,base,1127
170,1,base,1145
171,1,base,1291
172,1,base,1638
173,1,base,69
174,1,base,1451
175,1,base,282
176,1,base,1029
177,1,base,1213
178,1,base,2326
179,1,base,1226
180,1,base,2148
181,1,base,842
182,1,base,2225
183,1,base,881
184,1,base,1614
185,1,base,1081
186,1,base,2362
187,1,base,607
188,1,base,499
189,1,base,2464
190,1,base,2065
191,1,base,1173
192,1,base,2090
193,1,base,452
194,1,base,1899
195,1,base,2279
196,1,base,1496
197,1,base,2030
198,1,base,1398
199,1,base,315
200,1,base,2228
201,1,base,190
202,1,base,1616
203,1,base,1101
204,1,base,606
205,1,base,1676
206,1,base,1992
207,1,base,205
208,1,base,2097
209,1,base,2187
210,1,base,1740
211,1,base,2008
212,1,base,159
213,1,base,395
214,1,base,1456
215,1,base,1939
216,1,base,2190
217,1,base,407
218,1,base,826
219,1,base,276
220,1,base,2363
221,1,base,409
222,1,base,1095
223,1,base,1608
224,1,base,1355
225,1,base,1059
226,1,base,554
227,1,base,928
228,1,base,655
229,1,base,2452
230,1,base,1677
231,1,base,173
232,1,base,2136
233,1,base,2243
234,1,base,367
235,1,base,2094
236,1,base,1248
237,1,base,2399
238,1,base,1813
239,1,base,1555
240,1,base,1811
241,1,base,751
242,1,base,305
243,1,base,826
244,1,base,1986
245,1,base,2289
246,1,base,522
247,1,base,302
248,1,base,1752
249,1,base,776
250,1,base,1813
251,1,base,609
252,1,base,359
253,1,base,347
254,1,base,1206
255,1,base,1898
256,1,base,2186
257,1,base,2025
258,1,base,788
259,1,base,2378
260,1,base,916
261,1,base,495
262,1,base,1121
263,1,base,1159
264,1,base,1813
265,1,base,1282
266,1,base,1474
267,1,base,1565
268,1,base,2054
269,1,base,1370
270,1,base,66
271,1,base,1588
272,1,base,1630
273,1,base,2388
274,1,base,1935
275,1,base,2076
276,1,base,2066
277,1,base,1273
278,1,base,1309
279,1,base,2228
280,1,base,2353
281,1,base,2188
282,1,base,2379
283,1,base,289
284,1,base,1405
285,1,base,702
286,1,base,1066
287,1,base,1784
288,1,base,2161
289,1,base,1599
