CaseID,Phase,SourceRegime,SourceTraceIndex
0,1,base,1165
1,1,base,1357
2,1,base,2271
3,1,base,2154
4,1,base,1030
5,1,base,2365
6,1,base,1187
7,1,base,682
8,1,base,1749
9,1,base,447
10,1,base,1738
11,1,base,1189
12,1,base,1173
13,1,base,1851
14,1,base,2001
15,1,base,869
16,1,base,1061
17,1,base,1890
18,1,base,1808
19,1,base,1538
20,1,base,750
21,1,base,120
22,1,base,57
23,1,base,27
24,1,base,763
25,1,base,1441
26,1,base,2451
27,1,base,2071
28,1,base,2245
29,1,base,2479
30,1,base,781
31,1,base,1998
32,1,base,593
33,1,base,90
34,1,base,1465
35,1,base,48
36,1,base,39
37,1,base,2452
38,1,base,2078
39,1,base,1497
40,1,base,451
41,1,base,1877
42,1,base,16
43,1,base,1884
44,1,base,1517
45,1,base,549
46,1,base,74
47,1,base,2441
48,1,base,1282
49,1,base,113
50,1,base,1262
51,1,base,1957
52,1,base,926
53,1,base,22
54,1,base,1997
55,1,base,959
56,1,base,1304
57,1,base,1230
58,1,base,1016
59,1,base,515
60,1,base,707
61,1,base,2150
62,1,base,588
63,1,base,1855
64,1,base,218
65,1,base,75
66,1,base,1847
67,1,base,349
68,1,base,1216
69,1,base,793
70,1,base,1975
71,1,base,1336
72,1,base,977
73,1,base,2134
74,1,base,698
75,1,base,865
76,1,base,1306
77,1,base,2048
78,1,base,1790
79,1,base,170
80,1,base,847
81,1,base,1377
82,1,base,848
83,1,base,744
84,1,base,636
85,1,base,730
86,1,base,1283
87,1,base,817
88,1,base,1871
89,1,base,895
90,1,base,2111
91,1,base,1263
92,1,base,2243
93,1,base,167
94,1,base,1362
95,1,base,669
96,1,base,182
97,1,base,1195
98,1,base,686
99,1,base,2476
100,1,base,1558
101,1,base,1519
102,1,base,1872
103,1,base,1585
104,1,base,568
105,1,base,112
106,1,base,94
107,1,base,730
108,1,base,277
109,1,base,1790
110,1,base,2372
111,1,base,1279
112,1,base,654
113,1,base,1394
114,1,base,743
115,1,base,2142
116,1,base,1015
117,1,base,422
118,1,base,1568
119,1,base,815
120,1,base,1182
121,1,base,2442
122,1,base,2199
123,1,base,2336
124,1,base,2250
125,1,base,419
126,1,base,1888
127,1,base,181
128,1,base,205
129,1,base,2494
130,1,base,71
131,1,base,2274
132,1,base,1191
133,1,base,2122
134,1,base,1435
135,1,base,1570
136,1,base,1403
137,1,base,957
138,1,base,418
139,1,base,2013
140,1,base,431
141,1,base,14
142,1,base,1898
143,1,base,2322
144,1,base,1537
145,1,base,381
146,1,base,743
147,1,base,793
148,1,base,662
149,1,base,415
150,1,base,82
151,1,base,511
152,1,base,2429
153,1,base,2367
154,1,base,166
155,1,base,314
156,1,base,1547
157,1,base,890
158,1,base,704
159,1,base,189
160,1,base,903
161,1,base,1571
162,1,base,1679
163,1,base,1751
164,1,base,428
165,1,base,2352
166,1,base,1544
167,1,base,1825
168,1,base,1565
169,1,base,1053
170,1,base,1464
171,1,base,310
172,1,base,1549
173,1,base,1096
174,1,base,1696
175,1,base,584
176,1,base,2438
177,1,base,918
178,1,base,1049
179,1,base,1602
180,1,base,2198
181,1,base,2253
182,1,base,962
183,1,base,786
184,1,base,2055
185,1,base,270
186,1,base,2348
187,1,base,2162
188,1,base,27
189,1,base,2252
190,1,base,1757
191,1,base,1433
192,1,base,567
193,1,base,786
194,1,base,358
195,1,base,2294
196,1,base,14
197,1,base,961
198,1,base,1316
199,1,base,129
200,1,base,578
201,1,base,782
202,1,base,2088
203,1,base,1730
204,1,base,114
205,1,base,2123
206,1,base,2014
207,1,base,1233
208,1,base,2281
209,1,base,749
210,1,base,640
211,1,base,2316
212,1,base,150
213,1,base,2119
214,1,base,350
215,1,base,272
216,1,base,413
217,1,base,1304
218,1,base,316
219,1,base,2178
220,1,base,983
221,1,base,1758
222,1,base,1616
223,1,base,2308
224,1,base,2481
225,1,base,1015
226,1,base,10
227,1,base,1212
228,1,base,275
229,1,base,693
230,1,base,2286
231,1,base,2433
232,1,base,2417
233,1,base,7
234,1,base,774
235,1,base,451
236,1,base,1393
237,1,base,147
238,1,base,1559
239,1,base,422
240,1,base,1199
241,1,base,988
242,1,base,747
243,1,base,357
244,1,base,1058
245,1,base,538
246,1,base,945
247,1,base,963
248,1,base,2344
249,1,base,2148
250,1,base,2155
251,1,base,309
252,1,base,278
253,1,base,1368
254,1,base,1744
255,1,base,916
256,1,base,1896
257,1,base,957
258,1,base,1301
259,1,base,1060
260,1,base,824
261,1,base,909
262,1,base,403
263,1,base,908
264,1,base,118
265,1,base,30
266,1,base,2136
267,1,base,1859
268,1,base,1700
269,1,base,1039
270,1,base,441
271,1,base,1333
272,1,base,1788
273,1,base,513
274,1,base,1461
275,1,base,764
276,1,base,2363
277,1,base,1367
278,1,base,1313
279,1,base,1943
280,1,base,236
281,1,base,244
282,1,base,1526
