CaseID,Activity,Type,Timestamp
0,10,complete,2004-01-01T00:00:00.000+00:00
0,5,complete,2004-01-01T00:08:30.354+00:00
0,0,complete,2004-01-01T00:08:39.887+00:00
0,6,complete,2004-01-01T00:32:42.614+00:00
0,3,complete,2004-01-01T00:33:40.209+00:00
0,2,complete,2004-01-01T00:45:58.483+00:00
0,12,complete,2004-01-01T01:00:50.961+00:00
0,7,complete,2004-01-01T02:08:51.594+00:00
0,16,complete,2004-01-01T02:09:12.348+00:00
0,18,complete,2004-01-01T02:23:05.720+00:00
0,4,complete,2004-01-01T02:31:38.928+00:00
0,9,complete,2004-01-01T02:31:38.928+00:00
1,10,complete,2004-01-01T01:00:00.000+00:00
1,5,complete,2004-01-01T01:55:58.301+00:00
1,0,complete,2004-01-01T02:11:12.533+00:00
1,6,complete,2004-01-01T02:38:13.944+00:00
1,3,complete,2004-01-01T02:44:54.578+00:00
1,2,complete,2004-01-01T02:45:07.574+00:00
1,12,complete,2004-01-01T03:43:41.697+00:00
1,7,complete,2004-01-01T03:54:53.039+00:00
1,16,complete,2004-01-01T04:22:34.374+00:00
1,18,complete,2004-01-01T04:28:36.474+00:00
1,1,complete,2004-01-01T04:35:21.716+00:00
1,8,complete,2004-01-01T04:35:21.716+00:00
2,10,complete,2004-01-01T02:00:00.000+00:00
2,5,complete,2004-01-01T18:34:55.963+00:00
2,6,complete,2004-01-01T18:53:17.252+00:00
2,0,complete,2004-01-01T19:40:39.100+00:00
2,3,complete,2004-01-01T19:44:35.389+00:00
2,2,complete,2004-01-01T20:28:37.336+00:00
2,14,complete,2004-01-01T20:28:53.078+00:00
2,11,complete,2004-01-01T20:28:53.078+00:00
3,10,complete,2004-01-01T03:00:00.000+00:00
3,5,complete,2004-01-01T03:08:08.247+00:00
3,0,complete,2004-01-01T03:55:57.549+00:00
3,6,complete,2004-01-01T04:47:51.759+00:00
3,3,complete,2004-01-01T22:03:14.248+00:00
3,2,complete,2004-01-01T22:08:13.316+00:00
3,12,complete,2004-01-01T22:46:14.167+00:00
3,7,complete,2004-01-01T23:39:54.459+00:00
3,17,complete,2004-01-01T23:50:33.065+00:00
3,18,complete,2004-01-01T23:56:58.942+00:00
3,4,complete,2004-01-02T00:11:42.549+00:00
3,9,complete,2004-01-02T00:11:42.549+00:00
4,10,complete,2004-01-01T04:00:00.000+00:00
4,5,complete,2004-01-01T04:03:53.212+00:00
4,6,complete,2004-01-01T04:05:41.258+00:00
4,3,complete,2004-01-01T04:22:04.632+00:00
4,0,complete,2004-01-01T04:33:27.447+00:00
4,2,complete,2004-01-01T04:35:44.574+00:00
4,14,complete,2004-01-01T04:43:53.863+00:00
4,11,complete,2004-01-01T04:43:53.863+00:00
5,10,complete,2004-01-01T05:00:00.000+00:00
5,5,complete,2004-01-01T05:06:04.910+00:00
5,6,complete,2004-01-01T05:24:06.413+00:00
5,0,complete,2004-01-01T05:35:55.127+00:00
5,3,complete,2004-01-01T05:47:57.725+00:00
5,2,complete,2004-01-01T06:00:34.215+00:00
5,14,complete,2004-01-01T06:26:21.241+00:00
5,11,complete,2004-01-01T06:26:21.241+00:00
6,10,complete,2004-01-01T06:00:00.000+00:00
6,5,complete,2004-01-01T06:21:20.149+00:00
6,6,complete,2004-01-01T06:27:08.174+00:00
6,3,complete,2004-01-01T07:02:15.716+00:00
6,0,complete,2004-01-01T07:02:47.304+00:00
6,2,complete,2004-01-01T07:14:02.821+00:00
6,12,complete,2004-01-01T07:28:12.704+00:00
6,7,complete,2004-01-01T07:51:39.920+00:00
6,17,complete,2004-01-02T00:50:07.521+00:00
6,18,complete,2004-01-02T01:26:07.257+00:00
6,1,complete,2004-01-02T01:44:33.708+00:00
6,8,complete,2004-01-02T01:44:33.708+00:00
7,10,complete,2004-01-01T07:00:00.000+00:00
7,5,complete,2004-01-01T07:06:28.953+00:00
7,6,complete,2004-01-01T07:28:19.367+00:00
7,3,complete,2004-01-01T07:46:18.602+00:00
7,0,complete,2004-01-01T07:47:21.847+00:00
7,2,complete,2004-01-01T08:06:35.146+00:00
7,12,complete,2004-01-01T09:05:08.491+00:00
7,7,complete,2004-01-01T09:51:55.405+00:00
7,16,complete,2004-01-01T10:14:20.950+00:00
7,18,complete,2004-01-01T10:28:27.687+00:00
7,1,complete,2004-01-01T10:35:15.661+00:00
7,8,complete,2004-01-01T10:35:15.661+00:00
8,10,complete,2004-01-01T08:00:00.000+00:00
8,5,complete,2004-01-01T08:28:13.203+00:00
8,15,complete,2004-01-01T08:28:22.531+00:00
8,13,complete,2004-01-01T09:46:14.022+00:00
8,5,complete,2004-01-01T10:38:05.332+00:00
8,6,complete,2004-01-01T10:44:23.915+00:00
8,0,complete,2004-01-01T10:56:40.090+00:00
8,3,complete,2004-01-02T04:13:55.509+00:00
8,2,complete,2004-01-02T04:20:22.543+00:00
8,12,complete,2004-01-02T04:35:50.277+00:00
8,7,complete,2004-01-02T05:43:47.357+00:00
8,16,complete,2004-01-02T06:01:09.865+00:00
8,18,complete,2004-01-02T06:29:30.953+00:00
8,4,complete,2004-01-02T06:56:43.744+00:00
8,9,complete,2004-01-02T06:56:43.744+00:00
9,10,complete,2004-01-01T09:00:00.000+00:00
9,5,complete,2004-01-01T09:14:32.668+00:00
9,6,complete,2004-01-02T01:32:10.955+00:00
