CaseID,Phase,SourceRegime,SourceTraceIndex
0,1,base,2445
1,1,base,1548
2,1,base,1782
3,1,base,546
4,1,base,487
5,1,base,2247
6,1,base,33
7,1,base,3
8,1,base,217
9,1,base,463
10,1,base,446
11,1,base,64
12,1,base,899
13,1,base,1165
14,1,base,1032
15,1,base,1087
16,1,base,793
17,1,base,2499
18,1,base,711
19,1,base,1737
20,1,base,244
21,1,base,646
22,1,base,2213
23,1,base,1231
24,1,base,1673
25,1,base,1611
26,1,base,330
27,1,base,2283
28,1,base,147
29,1,base,1683
30,1,base,801
31,1,base,743
32,1,base,787
33,1,base,1099
34,1,base,677
35,1,base,550
36,1,base,651
37,1,base,507
38,1,base,183
39,1,base,1439
40,1,base,80
41,1,base,1022
42,1,base,662
43,1,base,22
44,1,base,1911
45,1,base,199
46,1,base,1098
47,1,base,569
48,1,base,952
49,1,base,1875
50,1,base,2164
51,1,base,1621
52,1,base,1756
53,1,base,942
54,1,base,1056
55,1,base,1589
56,1,base,354
57,1,base,2053
58,1,base,1560
59,1,base,712
60,1,base,2259
61,1,base,1170
62,1,base,342
63,1,base,2135
64,1,base,869
65,1,base,1162
66,1,base,682
67,1,base,2298
68,1,base,500
69,1,base,1028
70,1,base,548
71,1,base,1318
72,1,base,2047
73,1,base,777
74,1,base,93
75,1,base,562
76,1,base,1542
77,1,base,2378
78,1,base,2126
79,1,base,1027
80,1,base,221
81,1,base,1876
82,1,base,2404
83,1,base,661
84,1,base,1129
85,1,base,742
86,1,base,1323
87,1,base,1149
88,1,base,1685
89,1,base,1897
90,1,base,117
91,1,base,825
92,1,base,529
93,1,base,1874
94,1,base,2209
95,1,base,2189
96,1,base,2441
97,1,base,815
98,1,base,871
99,1,base,2235
100,1,base,2256
101,1,base,711
102,1,base,1784
103,1,base,1293
104,1,base,2247
105,1,base,2041
106,1,base,786
107,1,base,2112
108,1,base,1305
109,1,base,675
110,1,base,1520
111,1,base,909
112,1,base,1673
113,1,base,2406
114,1,base,986
115,1,base,1495
116,1,base,174
117,1,base,901
118,1,base,2072
119,1,base,1112
120,1,base,527
121,1,base,606
122,1,base,2484
123,1,base,956
124,1,base,1
125,1,base,1741
126,1,base,2192
127,1,base,1919
128,1,base,580
129,1,base,2006
130,1,base,1963
131,1,base,1976
132,1,base,1350
133,1,base,651
134,1,base,557
135,1,base,1511
136,1,base,2181
137,1,base,685
138,1,base,1352
139,1,base,2413
140,1,base,1805
141,1,base,990
142,1,base,1985
143,1,base,669
144,1,base,118
145,1,base,1368
146,1,base,552
147,1,base,427
148,1,base,2251
149,1,base,772
150,1,base,1520
151,1,base,1934
152,1,base,1057
153,1,base,1590
154,1,base,374
155,1,base,644
156,1,base,1233
157,1,base,1707
158,1,base,2053
159,1,base,1953
160,1,base,2487
161,1,base,280
162,1,base,363
163,1,base,1213
164,1,base,2255
165,1,base,916
166,1,base,1198
167,1,base,2483
168,1,base,396
169,1,base,1074
170,1,base,1897
171,1,base,1315
172,1,base,1955
173,1,base,80
174,1,base,359
175,1,base,1376
176,1,base,743
177,1,base,2211
178,1,base,220
179,1,base,562
180,1,base,1934
181,1,base,821
182,1,base,2367
183,1,base,1370
184,1,base,1809
185,1,base,499
186,1,base,1640
187,1,base,1211
188,1,base,1177
189,1,base,2428
190,1,base,2371
191,1,base,1176
192,1,base,522
193,1,base,355
194,1,base,848
