CaseID,Phase,SourceRegime,SourceTraceIndex
0,1,base,753
1,1,base,1961
2,1,base,1833
3,1,base,2105
4,1,base,804
5,1,base,1847
6,1,base,263
7,1,base,375
8,1,base,1479
9,1,base,661
10,1,base,343
11,1,base,51
12,1,base,1541
13,1,base,763
14,1,base,2409
15,1,base,180
16,1,base,1122
17,1,base,537
18,1,base,498
19,1,base,1622
20,1,base,855
21,1,base,2082
22,1,base,531
23,1,base,1169
24,1,base,2416
25,1,base,1215
26,1,base,915
27,1,base,1898
28,1,base,433
29,1,base,1905
30,1,base,537
31,1,base,2416
32,1,base,718
33,1,base,1181
34,1,base,203
35,1,base,2168
36,1,base,469
37,1,base,2153
38,1,base,995
39,1,base,844
40,1,base,1995
41,1,base,2255
42,1,base,128
43,1,base,2291
44,1,base,1476
45,1,base,1785
46,1,base,747
47,1,base,1798
48,1,base,417
49,1,base,1672
50,1,base,1142
51,1,base,771
52,1,base,1408
53,1,base,125
54,1,base,1678
55,1,base,1883
56,1,base,2338
57,1,base,2137
58,1,base,1264
59,1,base,639
60,1,base,2473
61,1,base,399
62,1,base,2353
63,1,base,687
64,1,base,160
65,1,base,6
66,1,base,365
67,1,base,164
68,1,base,599
69,1,base,2162
70,1,base,1314
71,1,base,247
72,1,base,499
73,1,base,1293
74,1,base,1269
75,1,base,2054
76,1,base,165
77,1,base,2351
78,1,base,842
79,1,base,1355
80,1,base,2447
81,1,base,705
82,1,base,716
83,1,base,1669
84,1,base,2275
85,1,base,256
86,1,base,1585
87,1,base,833
88,1,base,2418
89,1,base,1201
90,1,base,479
91,1,base,787
92,1,base,1291
93,1,base,37
94,1,base,30
95,1,base,1718
96,1,base,1889
97,1,base,665
98,1,base,1726
99,1,base,2264
100,1,base,945
101,1,base,1202
102,1,base,770
103,1,base,60
104,1,base,33
105,1,base,2053
106,1,base,128
107,1,base,2331
108,1,base,705
109,1,base,481
110,1,base,382
111,1,base,1678
112,1,base,2235
113,1,base,2264
114,1,base,941
115,1,base,1894
116,1,base,1452
117,1,base,1421
118,1,base,969
119,1,base,2100
120,1,base,1723
121,1,base,2394
122,1,base,1583
123,1,base,254
124,1,base,421
125,1,base,1757
126,1,base,2163
127,1,base,1684
128,1,base,1250
129,1,base,425
130,1,base,1517
131,1,base,1716
132,1,base,1117
133,1,base,2499
134,1,base,1015
135,1,base,1728
136,1,base,280
137,1,base,69
138,1,base,647
139,1,base,2015
140,1,base,1421
141,1,base,324
142,1,base,2102
143,1,base,1486
144,1,base,324
145,1,base,877
146,1,base,923
147,1,base,1507
148,1,base,783
149,1,base,119
150,1,base,1840
151,1,base,2422
152,1,base,2487
153,1,base,1889
154,1,base,206
155,1,base,1205
156,1,base,1871
157,1,base,2057
158,1,base,1892
159,1,base,226
160,1,base,711
161,1,base,777
162,1,base,1605
163,1,base,2279
164,1,base,846
165,1,base,765
166,1,base,2003
167,1,base,2165
168,1,base,1347
169,1,base,2345
170,1,base,58
171,1,base,2316
172,1,base,499
173,1,base,1573
174,1,base,176
175,1,base,1269
176,1,base,1622
177,1,base,682
178,1,base,1400
179,1,base,114
180,1,base,1054
181,1,base,1205
182,1,base,790
183,1,base,1932
184,1,base,1476
185,1,base,707
186,1,base,2476
187,1,base,636
188,1,base,239
189,1,base,951
190,1,base,1034
191,1,base,213
192,1,base,810
193,1,base,1815
194,1,base,2465
195,1,base,209
196,1,base,2017
197,1,base,236
198,1,base,39
199,1,base,223
200,1,base,1206
201,1,base,1178
202,1,base,2144
203,1,base,315
204,1,base,2447
205,1,base,998
206,1,base,1320
207,1,base,1964
208,1,base,780
209,1,base,705
210,1,base,762
211,1,base,1529
212,1,base,37
213,1,base,686
214,1,base,96
215,1,base,15
216,1,base,2332
217,1,base,1134
218,1,base,396
