CaseID,Activity,Type,Timestamp
0,10,complete,2004-01-01T00:00:00.000+00:00
0,5,complete,2004-01-01T00:08:18.221+00:00
0,0,complete,2004-01-01T00:10:28.798+00:00
0,6,complete,2004-01-01T00:14:20.809+00:00
0,3,complete,2004-01-01T00:17:34.389+00:00
0,2,complete,2004-01-01T00:41:03.381+00:00
0,14,complete,2004-01-01T00:47:58.890+00:00
0,11,complete,2004-01-01T00:47:58.890+00:00
1,10,complete,2004-01-01T01:00:00.000+00:00
1,5,complete,2004-01-01T01:02:17.499+00:00
1,6,complete,2004-01-01T01:20:13.388+00:00
1,3,complete,2004-01-01T18:45:37.740+00:00
1,0,complete,2004-01-01T19:51:35.326+00:00
1,2,complete,2004-01-01T20:27:08.246+00:00
1,12,complete,2004-01-01T20:40:09.136+00:00
1,7,complete,2004-01-01T20:52:26.820+00:00
1,16,complete,2004-01-01T21:16:51.513+00:00
1,18,complete,2004-01-01T21:36:02.100+00:00
1,4,complete,2004-01-01T21:47:23.330+00:00
1,9,complete,2004-01-01T21:47:23.330+00:00
2,10,complete,2004-01-01T02:00:00.000+00:00
2,5,complete,2004-01-01T02:36:05.428+00:00
2,0,complete,2004-01-01T02:48:56.672+00:00
2,6,complete,2004-01-01T19:38:37.286+00:00
2,3,complete,2004-01-01T19:46:51.005+00:00
2,2,complete,2004-01-01T19:47:45.111+00:00
2,14,complete,2004-01-01T20:02:29.001+00:00
2,11,complete,2004-01-01T20:02:29.001+00:00
3,10,complete,2004-01-01T03:00:00.000+00:00
3,5,complete,2004-01-01T03:51:10.759+00:00
3,0,complete,2004-01-01T04:03:29.309+00:00
3,6,complete,2004-01-01T04:11:05.252+00:00
3,3,complete,2004-01-01T04:15:53.192+00:00
3,2,complete,2004-01-01T04:20:36.329+00:00
3,14,complete,2004-01-01T04:55:22.794+00:00
3,11,complete,2004-01-01T04:55:22.794+00:00
4,10,complete,2004-01-01T04:00:00.000+00:00
4,5,complete,2004-01-01T20:11:43.567+00:00
4,6,complete,2004-01-01T20:15:37.532+00:00
4,0,complete,2004-01-01T20:27:30.033+00:00
4,3,complete,2004-01-01T20:34:59.189+00:00
4,2,complete,2004-01-01T20:40:12.198+00:00
4,12,complete,2004-01-01T21:08:01.087+00:00
4,7,complete,2004-01-01T21:29:35.217+00:00
4,16,complete,2004-01-01T21:47:55.198+00:00
4,18,complete,2004-01-01T22:50:35.876+00:00
4,4,complete,2004-01-01T23:18:39.185+00:00
4,9,complete,2004-01-01T23:18:39.185+00:00
5,10,complete,2004-01-01T05:00:00.000+00:00
5,5,complete,2004-01-01T05:08:32.449+00:00
5,6,complete,2004-01-01T05:17:19.548+00:00
5,3,complete,2004-01-01T05:40:32.213+00:00
5,0,complete,2004-01-01T05:54:05.373+00:00
5,2,complete,2004-01-01T06:17:23.020+00:00
5,12,complete,2004-01-01T06:23:12.728+00:00
5,7,complete,2004-01-01T07:12:31.481+00:00
5,17,complete,2004-01-01T07:19:11.035+00:00
5,18,complete,2004-01-01T23:50:51.575+00:00
5,1,complete,2004-01-02T00:33:43.741+00:00
5,8,complete,2004-01-02T00:33:43.741+00:00
6,10,complete,2004-01-01T06:00:00.000+00:00
6,5,complete,2004-01-01T06:29:45.644+00:00
6,0,complete,2004-01-01T07:03:49.139+00:00
6,6,complete,2004-01-01T07:04:10.949+00:00
6,3,complete,2004-01-01T07:57:20.398+00:00
6,2,complete,2004-01-01T08:24:03.482+00:00
6,12,complete,2004-01-01T08:36:32.014+00:00
6,7,complete,2004-01-01T08:46:17.671+00:00
6,16,complete,2004-01-01T09:17:07.622+00:00
