CaseID,Phase,SourceRegime,SourceTraceIndex
0,1,base,107
1,1,base,1899
2,1,base,68
3,1,base,598
4,1,base,2361
5,1,base,1851
6,1,base,2034
7,1,base,28
8,1,base,2150
9,1,base,957
10,1,base,2268
11,1,base,2447
12,1,base,259
13,1,base,1053
14,1,base,99
15,1,base,319
16,1,base,1730
17,1,base,939
18,1,base,1644
19,1,base,254
20,1,base,2319
21,1,base,499
22,1,base,1482
23,1,base,1315
24,1,base,574
25,1,base,44
26,1,base,359
27,1,base,391
28,1,base,543
29,1,base,194
30,1,base,2246
31,1,base,1547
32,1,base,627
33,1,base,40
34,1,base,1501
35,1,base,2493
36,1,base,1150
37,1,base,1482
38,1,base,498
39,1,base,2240
40,1,base,250
41,1,base,1533
42,1,base,1692
43,1,base,2008
44,1,base,2135
45,1,base,205
46,1,base,1181
47,1,base,1519
48,1,base,218
49,1,base,2045
50,1,base,85
51,1,base,617
52,1,base,1820
53,1,base,1736
54,1,base,1775
55,1,base,1792
56,1,base,1631
57,1,base,2431
58,1,base,741
59,1,base,87
60,1,base,1486
61,1,base,2242
62,1,base,1169
63,1,base,2237
64,1,base,185
65,1,base,713
66,1,base,1765
67,1,base,71
68,1,base,394
69,1,base,2448
70,1,base,1863
71,1,base,1486
72,1,base,1118
73,1,base,1458
74,1,base,1427
75,1,base,0
76,1,base,1251
77,1,base,1706
78,1,base,808
79,1,base,245
80,1,base,96
81,1,base,524
82,1,base,890
83,1,base,1789
84,1,base,1646
85,1,base,1539
86,1,base,49
87,1,base,1263
88,1,base,615
89,1,base,1390
90,1,base,622
91,1,base,1667
92,1,base,741
93,1,base,1646
94,1,base,274
95,1,base,1888
96,1,base,563
97,1,base,1936
98,1,base,645
99,1,base,611
100,1,base,2494
101,1,base,1031
102,1,base,139
103,1,base,2351
104,1,base,2313
105,1,base,2443
106,1,base,2172
107,1,base,2379
108,1,base,1481
109,1,base,2333
110,1,base,1275
111,1,base,502
112,1,base,231
113,1,base,170
114,1,base,461
115,1,base,1432
116,1,base,1486
117,1,base,2292
118,1,base,1600
119,1,base,1820
120,1,base,2263
121,1,base,645
122,1,base,666
123,1,base,692
124,1,base,1670
125,1,base,1461
126,1,base,880
127,1,base,1755
128,1,base,123
129,1,base,988
130,1,base,1842
131,1,base,2074
132,1,base,1318
133,1,base,1944
134,1,base,635
135,1,base,360
136,1,base,1354
137,1,base,757
138,1,base,27
139,1,base,2143
140,1,base,102
141,1,base,657
142,1,base,1411
143,1,base,1255
144,1,base,1730
145,1,base,1951
146,1,base,1930
147,1,base,743
148,1,base,2374
149,1,base,1076
150,1,base,2110
151,1,base,1642
152,1,base,2005
153,1,base,475
154,1,base,1037
155,1,base,1889
156,1,base,528
157,1,base,716
158,1,base,4
159,1,base,183
160,1,base,2047
161,1,base,1947
162,1,base,722
163,1,base,1410
164,1,base,1595
165,1,base,1565
166,1,base,1056
167,1,base,967
168,1,base,1507
169,1,base,1089
170,1,base,2296
171,1,base,735
172,1,base,1219
173,1,base,193
174,1,base,1764
175,1,base,2177
176,1,base,565
177,1,base,573
178,1,base,1944
179,1,base,2381
180,1,base,1801
181,1,base,2357
182,1,base,1282
183,1,base,1567
184,1,base,1092
185,1,base,1244
186,1,base,5
187,1,base,2064
188,1,base,625
189,1,base,2217
190,1,base,926
191,1,base,840
192,1,base,464
193,1,base,1553
194,1,base,2456
195,1,base,582
196,1,base,2303
197,1,base,549
198,1,base,1351
199,1,base,2377
200,1,base,2236
201,1,base,695
202,1,base,2238
203,1,base,1606
204,1,base,1554
205,1,base,796
206,1,base,2299
207,1,base,96
208,1,base,2156
209,1,base,940
210,1,base,237
211,1,base,1766
212,1,base,693
213,1,base,1155
214,1,base,2383
215,1,base,1424
216,1,base,1701
217,1,base,952
218,1,base,1802
219,1,base,1699
220,1,base,1953
221,1,base,2258
222,1,base,1024
223,1,base,18
224,1,base,299
225,1,base,2310
226,1,base,2314
227,1,base,1187
228,1,base,1321
229,1,base,2324
230,1,base,242
231,1,base,2119
232,1,base,638
233,1,base,1319
234,1,base,796
235,1,base,2216
236,1,base,1616
237,1,base,587
238,1,base,324
239,1,base,1448
240,1,base,2002
241,1,base,937
242,1,base,1851
243,1,base,681
244,1,base,1368
245,1,base,1485
246,1,base,1919
247,1,base,1074
248,1,base,750
249,1,base,1680
250,1,base,740
