CaseID,Activity,Type,Timestamp
0,10,complete,2004-01-01T00:00:00.000+00:00
0,5,complete,2004-01-01T00:23:19.944+00:00
0,6,complete,2004-01-01T00:34:28.976+00:00
0,3,complete,2004-01-01T00:35:47.615+00:00
0,0,complete,2004-01-01T01:12:47.050+00:00
0,2,complete,2004-01-01T18:34:50.651+00:00
0,12,complete,2004-01-01T18:37:40.760+00:00
0,7,complete,2004-01-01T19:03:33.478+00:00
0,17,complete,2004-01-01T19:59:30.949+00:00
0,19,complete,2004-01-01T20:35:53.158+00:00
0,1,complete,2004-01-01T20:46:42.215+00:00
0,8,complete,2004-01-01T20:46:42.215+00:00
1,10,complete,2004-01-01T01:00:00.000+00:00
1,5,complete,2004-01-01T01:12:45.270+00:00
1,0,complete,2004-01-01T01:21:01.658+00:00
1,6,complete,2004-01-03T17:43:08.320+00:00
1,3,complete,2004-01-03T18:02:08.904+00:00
1,2,complete,2004-01-03T18:16:08.226+00:00
1,14,complete,2004-01-03T18:18:37.368+00:00
1,11,complete,2004-01-03T18:18:37.368+00:00
2,10,complete,2004-01-01T02:00:00.000+00:00
2,5,complete,2004-01-01T02:10:18.013+00:00
2,16,complete,2004-01-01T02:27:04.783+00:00
2,13,complete,2004-01-01T02:45:36.220+00:00
2,5,complete,2004-01-01T03:01:33.473+00:00
2,6,complete,2004-01-01T03:24:12.385+00:00
2,3,complete,2004-01-01T04:19:50.537+00:00
2,0,complete,2004-01-01T05:15:03.903+00:00
2,2,complete,2004-01-01T06:03:20.192+00:00
2,12,complete,2004-01-01T06:23:08.969+00:00
2,7,complete,2004-01-01T06:25:49.653+00:00
2,17,complete,2004-01-01T06:42:45.541+00:00
2,19,complete,2004-01-01T07:26:43.328+00:00
2,1,complete,2004-01-01T07:46:34.703+00:00
2,8,complete,2004-01-01T07:46:34.703+00:00
3,10,complete,2004-01-01T03:00:00.000+00:00
3,5,complete,2004-01-01T03:12:38.690+00:00
3,0,complete,2004-01-01T03:43:04.689+00:00
3,6,complete,2004-01-01T03:53:51.860+00:00
3,3,complete,2004-01-01T04:12:22.488+00:00
3,2,complete,2004-01-01T04:21:05.618+00:00
3,12,complete,2004-01-01T04:55:24.680+00:00
3,7,complete,2004-01-01T05:04:46.765+00:00
3,18,complete,2004-01-01T07:15:26.606+00:00
3,19,complete,2004-01-01T08:39:34.231+00:00
3,1,complete,2004-01-01T09:18:56.148+00:00
3,8,complete,2004-01-01T09:18:56.148+00:00
4,10,complete,2004-01-01T04:00:00.000+00:00
4,5,complete,2004-01-01T04:10:48.857+00:00
4,6,complete,2004-01-01T04:16:03.587+00:00
4,0,complete,2004-01-01T04:23:35.348+00:00
4,3,complete,2004-01-01T05:49:00.546+00:00
4,2,complete,2004-01-01T06:14:45.589+00:00
4,12,complete,2004-01-01T07:08:23.674+00:00
4,7,complete,2004-01-01T07:18:20.743+00:00
4,17,complete,2004-01-04T00:18:48.867+00:00
4,19,complete,2004-01-04T00:20:38.935+00:00
4,1,complete,2004-01-04T01:13:59.741+00:00
4,8,complete,2004-01-04T01:13:59.741+00:00
5,10,complete,2004-01-01T05:00:00.000+00:00
5,5,complete,2004-01-01T05:05:19.309+00:00
5,0,complete,2004-01-01T05:07:07.701+00:00
5,6,complete,2004-01-01T05:12:04.505+00:00
5,3,complete,2004-01-01T05:25:28.265+00:00
5,2,complete,2004-01-01T21:35:56.424+00:00
5,14,complete,2004-01-01T22:05:11.782+00:00
5,11,complete,2004-01-01T22:05:11.782+00:00
6,10,complete,2004-01-01T06:00:00.000+00:00
6,5,complete,2004-01-01T06:07:35.551+00:00
6,0,complete,2004-01-01T06:15:41.624+00:00
6,6,complete,2004-01-01T06:40:33.695+00:00
6,3,complete,2004-01-01T06:59:45.045+00:00
6,2,complete,2004-01-01T07:08:02.148+00:00
6,14,complete,2004-01-01T07:25:25.106+00:00
6,11,complete,2004-01-01T07:25:25.106+00:00
7,10,complete,2004-01-01T07:00:00.000+00:00
7,5,complete,2004-01-01T08:49:36.104+00:00
7,0,complete,2004-01-01T08:57:21.509+00:00
7,6,complete,2004-01-02T03:06:20.118+00:00
7,3,complete,2004-01-02T03:12:13.202+00:00
7,2,complete,2004-01-02T03:17:49.521+00:00
7,14,complete,2004-01-02T03:44:08.005+00:00
7,11,complete,2004-01-02T03:44:08.005+00:00
8,10,complete,2004-01-01T08:00:00.000+00:00
8,5,complete,2004-01-01T08:58:58.781+00:00
8,6,complete,2004-01-01T09:25:04.763+00:00
8,0,complete,2004-01-01T09:57:33.881+00:00
8,3,complete,2004-01-01T10:32:08.684+00:00
8,2,complete,2004-01-01T11:25:52.241+00:00
8,12,complete,2004-01-01T11:42:12.387+00:00
8,7,complete,2004-01-01T12:05:30.942+00:00
8,18,complete,2004-01-01T12:31:14.209+00:00
8,19,complete,2004-01-02T05:02:23.131+00:00
8,4,complete,2004-01-02T05:41:33.779+00:00
8,9,complete,2004-01-02T05:41:33.779+00:00
9,10,complete,2004-01-01T09:00:00.000+00:00
9,5,complete,2004-01-01T09:29:37.966+00:00
9,6,complete,2004-01-01T09:43:25.564+00:00
9,3,complete,2004-01-01T09:44:15.610+00:00
9,0,complete,2004-01-01T09:54:51.069+00:00
9,2,complete,2004-01-01T09:58:22.420+00:00
9,14,complete,2004-01-01T10:49:25.733+00:00
9,11,complete,2004-01-01T10:49:25.733+00:00
10,10,complete,2004-01-01T10:00:00.000+00:00
10,5,complete,2004-01-01T10:14:50.486+00:00
10,6,complete,2004-01-01T10:20:08.106+00:00
10,0,complete,2004-01-01T10:24:44.070+00:00
10,3,complete,2004-01-01T10:46:22.302+00:00
10,2,complete,2004-01-02T04:26:17.719+00:00
10,12,complete,2004-01-02T06:52:19.872+00:00
10,7,complete,2004-01-02T07:12:33.418+00:00
10,18,complete,2004-01-02T08:07:52.289+00:00
10,19,complete,2004-01-02T08:15:47.272+00:00
10,1,complete,2004-01-02T08:35:50.736+00:00
10,8,complete,2004-01-02T08:35:50.736+00:00
11,10,complete,2004-01-01T11:00:00.000+00:00
11,5,complete,2004-01-04T06:17:57.420+00:00
11,6,complete,2004-01-04T06:30:34.623+00:00
11,0,complete,2004-01-04T06:40:31.367+00:00
11,3,complete,2004-01-04T06:48:59.347+00:00
11,2,complete,2004-01-04T07:00:57.065+00:00
