CaseID,Phase,SourceRegime,SourceTraceIndex
0,1,base,580
1,1,base,1928
2,1,base,2223
3,1,base,418
4,1,base,610
5,1,base,1497
6,1,base,2107
7,1,base,1927
8,1,base,2006
9,1,base,6
10,1,base,1498
11,1,base,304
12,1,base,416
13,1,base,2366
14,1,base,2425
15,1,base,612
16,1,base,1819
17,1,base,2330
18,1,base,1689
19,1,base,460
20,1,base,1629
21,1,base,1170
22,1,base,895
23,1,base,1408
24,1,base,992
25,1,base,565
26,1,base,2198
27,1,base,895
28,1,base,139
29,1,base,487
30,1,base,1492
31,1,base,1990
32,1,base,405
33,1,base,788
34,1,base,247
35,1,base,1269
36,1,base,1481
37,1,base,1035
38,1,base,104
39,1,base,1905
40,1,base,2429
41,1,base,2407
42,1,base,197
43,1,base,886
44,1,base,789
45,1,base,352
46,1,base,479
47,1,base,1486
48,1,base,709
49,1,base,258
50,1,base,406
51,1,base,1804
52,1,base,1175
53,1,base,2197
54,1,base,603
55,1,base,596
56,1,base,1480
57,1,base,941
58,1,base,838
59,1,base,1943
60,1,base,1055
61,1,base,866
62,1,base,79
63,1,base,1343
64,1,base,1867
65,1,base,453
66,1,base,1563
67,1,base,2061
68,1,base,969
69,1,base,1276
70,1,base,1865
71,1,base,331
72,1,base,4
73,1,base,221
74,1,base,734
75,1,base,1133
76,1,base,1737
77,1,base,724
78,1,base,855
79,1,base,102
80,1,base,1462
81,1,base,1254
82,1,base,1681
83,1,base,1298
84,1,base,1660
85,1,base,1640
86,1,base,2000
87,1,base,807
88,1,base,1654
89,1,base,1806
90,1,base,372
91,1,base,852
92,1,base,1978
93,1,base,2160
94,1,base,1769
95,1,base,2131
96,1,base,2033
97,1,base,422
98,1,base,146
99,1,base,2054
100,1,base,1075
101,1,base,72
102,1,base,958
103,1,base,119
104,1,base,853
105,1,base,716
106,1,base,1607
107,1,base,46
108,1,base,1101
109,1,base,1076
110,1,base,2107
111,1,base,467
112,1,base,1624
113,1,base,1616
114,1,base,2196
115,1,base,679
116,1,base,1887
117,1,base,59
118,1,base,1880
119,1,base,1058
120,1,base,1959
121,1,base,1969
122,1,base,1783
123,1,base,1678
124,1,base,2467
125,1,base,411
126,1,base,225
127,1,base,2335
128,1,base,2494
