CaseID,Phase,SourceRegime,SourceTraceIndex
0,1,base,934
1,1,base,1994
2,1,base,21
3,1,base,2436
4,1,base,1646
5,1,base,2208
6,1,base,642
7,1,base,1323
8,1,base,813
9,1,base,1310
10,1,base,516
11,1,base,15
12,1,base,170
13,1,base,1219
14,1,base,1100
15,1,base,1902
16,1,base,1197
17,1,base,635
18,1,base,2081
19,1,base,1496
20,1,base,785
21,1,base,2161
22,1,base,458
23,1,base,1826
24,1,base,1678
25,1,base,274
26,1,base,1065
27,1,base,2168
28,1,base,1154
29,1,base,187
30,1,base,1683
31,1,base,1442
32,1,base,2327
33,1,base,2282
34,1,base,1785
35,1,base,1954
36,1,base,1418
37,1,base,1571
38,1,base,997
39,1,base,405
40,1,base,2140
41,1,base,2080
42,1,base,1936
43,1,base,1337
44,1,base,2301
45,1,base,1424
46,1,base,764
47,1,base,1162
48,1,base,1056
49,1,base,1543
50,1,base,543
51,1,base,1385
52,1,base,620
53,1,base,2216
54,1,base,2171
55,1,base,422
56,1,base,1082
57,1,base,188
58,1,base,1245
59,1,base,498
60,1,base,1043
61,1,base,66
62,1,base,130
63,1,base,2210
64,1,base,291
65,1,base,2302
66,1,base,2024
67,1,base,94
68,1,base,1511
69,1,base,164
70,1,base,1490
71,1,base,832
72,1,base,1814
73,1,base,1781
74,1,base,266
75,1,base,303
76,1,base,505
77,1,base,1511
78,1,base,2252
79,1,base,2015
80,1,base,1305
81,1,base,386
82,1,base,348
83,1,base,1432
84,1,base,47
85,1,base,455
86,1,base,652
87,1,base,1025
88,1,base,584
89,1,base,344
90,1,base,2092
91,1,base,1534
92,1,base,1153
93,1,base,1080
94,1,base,699
95,1,base,1189
96,1,base,2478
97,1,base,1810
98,1,base,326
99,1,base,1932
100,1,base,2214
101,1,base,836
102,1,base,2404
103,1,base,825
104,1,base,2283
105,1,base,2228
106,1,base,2327
107,1,base,772
108,1,base,2314
109,1,base,2259
110,1,base,1562
111,1,base,1527
112,1,base,392
113,1,base,474
114,1,base,738
115,1,base,1518
116,1,base,161
117,1,base,1712
118,1,base,503
119,1,base,1469
120,1,base,1318
121,1,base,1919
122,1,base,2142
123,1,base,1497
124,1,base,1647
125,1,base,623
126,1,base,2222
127,1,base,1913
128,1,base,2058
129,1,base,1452
130,1,base,484
131,1,base,34
132,1,base,1304
133,1,base,42
134,1,base,2333
135,1,base,2344
136,1,base,643
137,1,base,1566
138,1,base,873
139,1,base,1479
140,1,base,586
141,1,base,1377
142,1,base,1776
143,1,base,2287
144,1,base,1562
145,1,base,2349
146,1,base,370
147,1,base,1049
148,1,base,689
149,1,base,345
150,1,base,2116
151,1,base,1787
152,1,base,1650
153,1,base,941
154,1,base,646
155,1,base,955
156,1,base,923
157,1,base,1181
158,1,base,2080
159,1,base,1834
160,1,base,1617
161,1,base,716
162,1,base,926
163,1,base,2131
164,1,base,1032
165,1,base,1239
166,1,base,148
167,1,base,659
168,1,base,2400
169,1,base,151
170,1,base,1349
171,1,base,987
172,1,base,1212
173,1,base,730
174,1,base,1243
175,1,base,1322
176,1,base,1893
177,1,base,583
178,1,base,329
179,1,base,587
180,1,base,272
181,1,base,1885
182,1,base,699
183,1,base,1416
184,1,base,1193
185,1,base,74
186,1,base,1874
187,1,base,795
188,1,base,1992
189,1,base,425
190,1,base,282
191,1,base,847
192,1,base,1764
193,1,base,1428
194,1,base,1773
195,1,base,1414
196,1,base,1180
197,1,base,537
198,1,base,1909
199,1,base,1648
200,1,base,645
201,1,base,1903
202,1,base,2108
203,1,base,1684
204,1,base,1561
205,1,base,597
206,1,base,2153
207,1,base,600
208,1,base,378
209,1,base,895
210,1,base,1214
211,1,base,2317
212,1,base,1678
213,1,base,898
214,1,base,211
215,1,base,1424
216,1,base,262
217,1,base,690
218,1,base,2451
219,1,base,1363
220,1,base,1131
221,1,base,2180
222,1,base,1454
223,1,base,1609
224,1,base,1345
225,1,base,2077
226,1,base,2116
227,1,base,2279
228,1,base,1647
229,1,base,1771
230,1,base,641
231,1,base,1360
232,1,base,354
233,1,base,288
234,1,base,1363
235,1,base,388
236,1,base,1658
237,1,base,1824
238,1,base,365
239,1,base,1248
240,1,base,1246
241,1,base,1883
242,1,base,991
243,1,base,1680
244,1,base,675
245,1,base,1790
246,1,base,13
247,1,base,570
248,1,base,313
249,1,base,1862
250,1,base,414
251,1,base,585
252,1,base,1075
253,1,base,2324
254,1,base,1728
255,1,base,1254
256,1,base,1019
257,1,base,632
258,1,base,1910
259,1,base,948
260,1,base,1075
261,1,base,407
262,1,base,1353
263,1,base,411
264,1,base,1220
265,1,base,1596
266,1,base,2203
267,1,base,458
268,1,base,446
269,1,base,1780
270,1,base,458
271,1,base,324
272,1,base,379
273,1,base,1479
274,1,base,2327
275,1,base,1067
276,1,base,1829
277,1,base,1281
278,1,base,302
279,1,base,614
280,1,base,1361
281,1,base,475
282,1,base,183
283,1,base,1100
284,1,base,1537
285,1,base,1780
286,1,base,1034
287,1,base,719
288,1,base,981
289,1,base,768
290,1,base,836
291,1,base,2032
292,1,base,476
293,1,base,1096
294,1,base,56
295,1,base,1974
296,1,base,2259
297,1,base,488
298,1,base,442
299,1,base,359
300,1,base,1559
301,1,base,688
302,1,base,941
303,1,base,468
304,1,base,2057
305,1,base,1983
306,1,base,1084
307,1,base,1702
308,1,base,2420
309,1,base,1057
310,1,base,2412
311,1,base,1796
312,1,base,2141
313,1,base,687
314,1,base,740
315,1,base,2261
316,1,base,556
317,1,base,2077
318,1,base,94
319,1,base,1968
320,1,base,813
321,1,base,1002
322,1,base,1948
323,1,base,2252
324,1,base,820
325,1,base,1858
326,1,base,1730
327,1,base,1773
328,1,base,2041
329,1,base,2300
330,1,base,2101
331,1,base,1829
332,1,base,957
333,1,base,480
334,1,base,1673
335,1,base,799
336,1,base,2457
337,1,base,1677
338,1,base,1546
339,1,base,1444
340,1,base,952
341,1,base,1442
342,1,base,542
343,1,base,141
344,1,base,1356
345,1,base,106
346,1,base,1651
347,1,base,2176
348,1,base,2300
349,1,base,578
350,1,base,1227
351,1,base,967
352,1,base,2497
353,1,base,2023
354,1,base,1735
355,1,base,498
356,1,base,1506
357,1,base,664
358,1,base,1933
359,1,base,931
360,1,base,2344
361,1,base,290
362,1,base,1700
363,1,base,1886
364,1,base,775
365,1,base,1698
366,1,base,202
367,1,base,946
368,1,base,1984
369,1,base,2275
370,1,base,962
371,1,base,1984
372,1,base,1053
373,1,base,794
374,1,base,774
375,1,base,1199
376,1,base,1099
377,1,base,1188
378,1,base,1522
379,1,base,1556
380,1,base,2276
381,1,base,1701
382,1,base,1337
383,1,base,1871
384,1,base,2156
385,1,base,1111
386,1,base,42
387,1,base,1597
388,1,base,1455
389,1,base,811
390,1,base,506
391,1,base,2426
392,1,base,600
393,1,base,474
394,1,base,4
395,1,base,1381
396,1,base,1299
397,1,base,303
398,1,base,2293
399,1,base,924
400,1,base,2080
401,1,base,713
402,1,base,1918
403,1,base,137
404,1,base,1828
405,1,base,150
406,1,base,1910
407,1,base,173
408,1,base,634
409,1,base,2485
410,1,base,445
411,1,base,418
412,1,base,135
413,1,base,2235
414,1,base,1409
415,1,base,286
416,1,base,2213
417,1,base,1888
418,1,base,2349
419,1,base,2052
420,1,base,1236
421,1,base,1319
422,1,base,1088
423,1,base,213
424,1,base,1504
425,1,base,229
426,1,base,1623
427,1,base,1232
428,1,base,1581
429,1,base,47
430,1,base,653
431,1,base,515
432,1,base,2134
433,1,base,1480
434,1,base,1115
435,1,base,2346
436,1,base,2475
437,1,base,1613
438,1,base,1756
439,1,base,1575
440,1,base,668
441,1,base,1900
442,1,base,2452
443,1,base,495
444,1,base,803
445,1,base,882
446,1,base,2228
447,1,base,2485
448,1,base,301
449,1,base,1236
450,1,base,2411
451,1,base,1646
452,1,base,2218
453,1,base,65
454,1,base,738
455,1,base,2129
456,1,base,454
457,1,base,249
458,1,base,1641
459,1,base,2190
460,1,base,1167
461,1,base,2245
462,1,base,1180
463,1,base,1936
464,1,base,2071
465,1,base,439
466,1,base,2221
467,1,base,2017
468,1,base,2389
469,1,base,628
470,1,base,1892
471,1,base,1091
472,1,base,2483
473,1,base,1218
474,1,base,409
475,1,base,1101
476,1,base,2392
477,1,base,88
478,1,base,1923
479,1,base,290
480,1,base,1865
481,1,base,2057
482,1,base,651
483,1,base,5
484,1,base,1549
485,1,base,2215
486,1,base,1457
487,1,base,1810
488,1,base,2376
489,1,base,2156
490,1,base,2175
491,1,base,334
492,1,base,2493
493,1,base,6
494,1,base,970
495,1,base,310
496,1,base,1167
497,1,base,176
498,1,base,1206
499,1,base,1360
500,1,base,1630
501,1,base,1697
502,1,base,2427
503,1,base,2077
504,1,base,984
505,1,base,1236
506,1,base,2477
507,1,base,1182
508,1,base,1182
509,1,base,76
510,1,base,1416
511,1,base,508
512,1,base,1153
513,1,base,399
514,1,base,2120
515,1,base,1708
516,1,base,628
517,1,base,2390
518,1,base,1231
519,1,base,795
520,1,base,1700
521,1,base,1230
522,1,base,482
523,1,base,791
524,1,base,1988
525,1,base,2161
526,1,base,2404
527,1,base,579
528,1,base,1879
529,1,base,748
530,1,base,1841
531,1,base,285
532,1,base,1553
533,1,base,282
534,1,base,1262
535,1,base,943
536,1,base,1027
537,1,base,1750
538,1,base,448
539,1,base,18
540,1,base,884
541,1,base,1192
542,1,base,2109
543,1,base,267
544,1,base,1690
545,1,base,406
546,1,base,1583
547,1,base,674
548,1,base,2368
549,1,base,1903
550,1,base,1959
551,1,base,670
552,1,base,782
553,1,base,621
554,1,base,244
555,1,base,1104
556,1,base,326
557,1,base,2449
558,1,base,1641
559,1,base,2499
560,1,base,1250
561,1,base,1765
562,1,base,1299
563,1,base,1384
564,1,base,2171
565,1,base,556
566,1,base,889
567,1,base,1283
568,1,base,1923
569,1,base,1092
570,1,base,961
571,1,base,2380
572,1,base,1639
573,1,base,713
574,1,base,2024
575,1,base,1429
576,1,base,53
577,1,base,148
578,1,base,1934
579,1,base,1817
580,1,base,1097
581,1,base,1977
582,1,base,1134
583,1,base,804
584,1,base,144
585,1,base,653
586,1,base,1968
587,1,base,1090
588,1,base,1775
589,1,base,1935
590,1,base,1568
591,1,base,555
592,1,base,2108
593,1,base,529
594,1,base,79
595,1,base,2008
596,1,base,739
597,1,base,522
598,1,base,624
599,1,base,1539
600,1,base,1358
601,1,base,1538
602,1,base,1944
603,1,base,1033
604,1,base,300
605,1,base,2240
606,1,base,1180
607,1,base,371
608,1,base,1688
609,1,base,976
610,1,base,122
611,1,base,94
612,1,base,1980
613,1,base,1154
614,1,base,1118
615,1,base,2328
616,1,base,460
617,1,base,965
618,1,base,581
619,1,base,1756
620,1,base,1298
621,1,base,239
622,1,base,2046
623,1,base,1779
624,1,base,1049
625,1,base,603
626,1,base,678
627,1,base,2196
628,1,base,2413
629,1,base,1641
630,1,base,632
631,1,base,282
632,1,base,1208
633,1,base,624
634,1,base,1077
635,1,base,2203
636,1,base,1464
637,1,base,1792
638,1,base,38
639,1,base,486
640,1,base,160
641,1,base,1995
642,1,base,1381
643,1,base,310
644,1,base,2160
645,1,base,2093
646,1,base,1575
647,1,base,14
648,1,base,2203
649,1,base,473
650,1,base,624
651,1,base,703
652,1,base,1052
653,1,base,2495
654,1,base,357
655,1,base,1227
656,1,base,516
657,1,base,1135
658,1,base,0
659,1,base,585
660,1,base,536
661,1,base,463
662,1,base,1639
663,1,base,2048
664,1,base,1240
665,1,base,2052
666,1,base,157
667,1,base,1455
668,1,base,2073
669,1,base,114
670,1,base,1703
671,1,base,2158
672,1,base,716
673,1,base,376
674,1,base,999
675,1,base,2362
676,1,base,799
677,1,base,1192
678,1,base,179
679,1,base,2349
680,1,base,465
681,1,base,1162
682,1,base,558
683,1,base,398
684,1,base,840
685,1,base,120
686,1,base,688
687,1,base,1408
688,1,base,2011
689,1,base,577
690,1,base,2310
691,1,base,898
692,1,base,1170
693,1,base,574
694,1,base,1754
695,1,base,2339
696,1,base,28
697,1,base,1529
698,1,base,1898
699,1,base,1695
700,1,base,2095
701,1,base,2058
702,1,base,548
703,1,base,446
704,1,base,295
705,1,base,1029
706,1,base,780
707,1,base,274
708,1,base,1427
709,1,base,500
710,1,base,291
711,1,base,2318
712,1,base,2148
713,1,base,1410
714,1,base,967
715,1,base,1376
716,1,base,2129
717,1,base,1868
718,1,base,2102
719,1,base,535
720,1,base,318
721,1,base,1119
722,1,base,2450
723,1,base,1309
724,1,base,778
725,1,base,652
726,1,base,721
727,1,base,23
728,1,base,1680
729,1,base,120
730,1,base,2397
731,1,base,724
732,1,base,1371
733,1,base,2203
734,1,base,2443
735,1,base,818
736,1,base,1690
737,1,base,2271
738,1,base,314
739,1,base,16
740,1,base,559
741,1,base,995
742,1,base,1368
743,1,base,2099
744,1,base,44
745,1,base,307
746,1,base,1055
747,1,base,1260
748,1,base,949
749,1,base,750
750,1,base,36
751,1,base,1185
752,1,base,1798
753,1,base,477
754,1,base,941
755,1,base,1843
756,1,base,1894
757,1,base,1318
758,1,base,908
759,1,base,751
760,1,base,90
761,1,base,1762
762,1,base,939
763,1,base,1770
764,1,base,868
765,1,base,275
766,1,base,2234
767,1,base,351
768,1,base,1387
769,1,base,2102
770,1,base,382
771,1,base,2023
772,1,base,891
773,1,base,1440
774,1,base,2259
775,1,base,437
776,1,base,2301
777,1,base,2180
778,1,base,140
779,1,base,1902
780,1,base,57
781,1,base,1246
782,1,base,1022
783,1,base,716
784,1,base,301
785,1,base,2145
786,1,base,239
787,1,base,1907
788,1,base,1098
789,1,base,2362
790,1,base,2172
791,1,base,1738
792,1,base,1406
793,1,base,1088
794,1,base,995
795,1,base,1076
796,1,base,1457
797,1,base,725
798,1,base,2116
799,1,base,1432
800,1,base,640
801,1,base,2100
802,1,base,1654
803,1,base,344
804,1,base,556
805,1,base,1395
806,1,base,1460
807,1,base,834
808,1,base,1984
809,1,base,964
810,1,base,558
811,1,base,1142
812,1,base,343
813,1,base,2342
814,1,base,628
815,1,base,605
816,1,base,2401
817,1,base,122
818,1,base,2032
819,1,base,812
820,1,base,179
821,1,base,2096
822,1,base,1969
823,1,base,381
824,1,base,74
825,1,base,880
826,1,base,2110
827,1,base,1275
828,1,base,780
829,1,base,1647
830,1,base,14
831,1,base,274
832,1,base,1464
833,1,base,614
834,1,base,1002
835,1,base,507
836,1,base,1444
