CaseID,Activity,Type,Timestamp
0,10,complete,2004-01-01T00:00:00.000+00:00
0,5,complete,2004-01-01T00:30:18.696+00:00
0,15,complete,2004-01-01T01:24:36.990+00:00
0,13,complete,2004-01-01T01:32:57.766+00:00
0,5,complete,2004-01-01T01:44:12.302+00:00
0,0,complete,2004-01-01T01:51:41.794+00:00
0,6,complete,2004-01-01T02:06:40.491+00:00
0,3,complete,2004-01-01T02:07:48.395+00:00
0,2,complete,2004-01-01T02:10:10.494+00:00
0,12,complete,2004-01-01T02:13:25.642+00:00
0,7,complete,2004-01-01T02:13:53.975+00:00
0,16,complete,2004-01-01T02:38:29.737+00:00
0,18,complete,2004-01-01T02:57:34.125+00:00
0,1,complete,2004-01-01T03:23:53.234+00:00
0,8,complete,2004-01-01T03:23:53.234+00:00
1,10,complete,2004-01-01T01:00:00.000+00:00
1,5,complete,2004-01-01T01:21:59.010+00:00
1,6,complete,2004-01-01T01:57:25.054+00:00
1,3,complete,2004-01-01T18:09:28.489+00:00
1,0,complete,2004-01-01T18:26:22.366+00:00
1,2,complete,2004-01-01T18:31:59.682+00:00
1,12,complete,2004-01-01T18:53:32.705+00:00
1,7,complete,2004-01-01T19:44:42.008+00:00
1,17,complete,2004-01-01T20:18:12.379+00:00
1,18,complete,2004-01-01T21:17:44.064+00:00
1,1,complete,2004-01-01T21:23:37.942+00:00
1,8,complete,2004-01-01T21:23:37.942+00:00
2,10,complete,2004-01-01T02:00:00.000+00:00
2,5,complete,2004-01-01T02:06:24.502+00:00
2,15,complete,2004-01-01T02:45:20.196+00:00
2,13,complete,2004-01-01T02:59:38.012+00:00
2,5,complete,2004-01-01T03:10:09.103+00:00
2,15,complete,2004-01-01T03:13:14.850+00:00
2,13,complete,2004-01-01T04:28:33.470+00:00
2,5,complete,2004-01-01T05:02:49.278+00:00
2,6,complete,2004-01-01T05:03:04.771+00:00
2,0,complete,2004-01-01T05:12:44.828+00:00
2,3,complete,2004-01-01T05:15:38.979+00:00
2,2,complete,2004-01-01T05:19:39.817+00:00
2,12,complete,2004-01-01T06:10:02.505+00:00
2,7,complete,2004-01-01T06:16:51.750+00:00
2,17,complete,2004-01-02T00:21:25.457+00:00
2,18,complete,2004-01-02T01:16:26.779+00:00
2,4,complete,2004-01-02T01:38:13.479+00:00
